序号,代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收
23,508088,国泰君安东久新经济REIT,3.868,0.007,0.18,29556.0,11420423.0,3.872,3.876,3.833,3.861
24,508036,平安宁波交投REIT,10.168,0.015,0.15,3950.0,4010451.0,10.158,10.169,10.133,10.153
25,508099,建信中关村REIT,2.109,0.003,0.14,21041.0,4437347.0,2.105,2.114,2.104,2.106
26,508078,中航易商仓储物流REIT,3.251,0.004,0.12,1397.0,453650.0,3.266,3.283,3.237,3.247
27,508077,华夏基金华润有巢REIT,3.433,0.004,0.12,28940.0,9926725.0,3.44,3.44,3.396,3.429
28,508002,华安百联消费REIT,3.094,0.002,0.06,4238.0,1305900.0,3.075,3.094,3.075,3.092
29,180603,华夏大悦城商业REIT,5.118,0.003,0.06,1641.0,839528.8,5.125,5.125,5.115,5.115
30,508085,华泰苏州恒泰租赁住房REIT,3.929,0.002,0.05,1634.0,641683.0,3.927,3.932,3.915,3.927
31,180305,南方顺丰物流REIT,4.078,0.002,0.05,10490.0,4270969.476,4.076,4.078,4.066,4.076
32,508080,中金亦庄产业园REIT,3.88,0.001,0.03,5595.0,2161518.0,3.856,3.897,3.84,3.879
33,508068,华夏北京保障房REIT,4.111,0.001,0.02,22679.0,9319772.0,4.117,4.12,4.096,4.11
34,508086,工银河北高速REIT,5.246,0.001,0.02,1613.0,846433.0,5.245,5.256,5.245,5.245
35,508091,凯德商业,,,,,,,,,5.718
36,508084,汇添富九州通医药REIT,4.175,0.0,0.0,715.0,298338.0,4.17,4.186,4.159,4.175
37,508055,汇添富上海地产租赁住房REIT,3.72,0.0,0.0,3753.0,1395327.0,3.722,3.73,3.704,3.72
38,508000,XD华安张江产业园REIT,2.738,0.0,0.0,11304.0,3088065.0,2.749,2.75,2.706,2.738
39,180606,中金中国绿发商业REIT,4.02,0.0,0.0,2975.0,1195199.799,4.021,4.028,4.012,4.02
40,508018,华夏中国交建REIT,5.388,-0.001,-0.02,24093.0,12971259.0,5.385,5.393,5.377,5.389
41,508022,博时津开产园REIT,3.535,-0.001,-0.03,5955.0,2109454.0,3.537,3.595,3.5,3.536
42,508016,华夏华电清洁能源REIT,4.609,-0.002,-0.04,30494.0,14053185.0,4.61,4.614,4.602,4.611
43,180102,华夏合肥高新REIT,1.85,-0.001,-0.05,30083.0,5567149.657,1.851,1.859,1.845,1.851
44,180202,华夏越秀高速REIT,5.9,-0.004,-0.07,9158.0,5404456.614,5.904,5.907,5.899,5.904
45,508082,中金唯品会奥莱REIT,4.398,-0.003,-0.07,17765.0,7816243.0,4.388,4.407,4.388,4.401
46,180501,红土创新深圳安居REIT,3.559,-0.003,-0.08,17732.0,6314127.607,3.552,3.579,3.54,3.562
47,508003,中金联东科创REIT,4.248,-0.004,-0.09,3712.0,1577723.0,4.253,4.278,4.234,4.252
48,508090,中银中外运仓储物流REIT,4.136,-0.004,-0.1,7413.0,3066084.0,4.115,4.149,4.11,4.14
49,180401,鹏华深圳能源REIT,6.134,-0.007,-0.11,6627.0,4068506.541,6.137,6.148,6.133,6.141
50,508039,创金合信首农REIT,4.938,-0.006,-0.12,6612.0,3257621.0,4.94,4.94,4.918,4.944
51,508001,浙商沪杭甬REIT,7.12,-0.009,-0.13,11826.0,8427074.0,7.133,7.133,7.11,7.129
52,508092,华夏金隅智造工场REIT,4.245,-0.009,-0.21,11150.0,4706184.0,4.254,4.316,4.169,4.254
53,180601,华夏华润商业REIT,10.375,-0.022,-0.21,6811.0,7050054.2,10.397,10.399,10.313,10.397
54,180901,南方润泽科技数据中心REIT,6.12,-0.013,-0.21,19147.0,11735745.18,6.125,6.149,6.098,6.133
55,180103,华夏和达高科REIT,2.32,-0.005,-0.22,1638.0,379807.824,2.325,2.325,2.316,2.325
56,508087,国泰君安济南能源供热REIT,12.192,-0.027,-0.22,1143.0,1393623.0,12.219,12.219,12.19,12.219
57,180402,工银蒙能清洁能源REIT,7.012,-0.018,-0.26,2694.0,1895445.1,7.039,7.048,7.01,7.03
58,508060,南方万国数据中心REIT,4.199,-0.011,-0.26,24637.0,10362965.0,4.213,4.218,4.186,4.21
59,180801,中航首钢绿能REIT,11.981,-0.043,-0.36,4780.0,5728072.406,12.018,12.018,11.964,12.024
60,508027,东吴苏园产业REIT,3.041,-0.011,-0.36,27792.0,8461000.0,3.053,3.053,3.035,3.052
61,508056,中金普洛斯REIT,3.551,-0.013,-0.36,27924.0,9925701.0,3.559,3.58,3.541,3.564
62,508008,国金中国铁建REIT,8.266,-0.035,-0.42,15841.0,13120050.0,8.301,8.301,8.265,8.301
63,180105,易方达广开产园REIT,2.305,-0.01,-0.43,4534.0,1045911.32,2.315,2.315,2.303,2.315
64,508006,富国首创水务REIT,3.682,-0.019,-0.51,28583.0,10539376.0,3.701,3.703,3.681,3.701
65,508012,招商科创REIT,3.485,-0.018,-0.51,8882.0,3094839.0,3.503,3.503,3.465,3.503
66,508005,华夏首创奥莱REIT,4.015,-0.023,-0.57,26417.0,10622792.0,4.04,4.073,4.011,4.038
67,508017,华夏金茂商业REIT,3.75,-0.022,-0.58,6186.0,2324180.0,3.749,3.793,3.5,3.772
68,508069,华夏南京交通高速公路REIT,6.745,-0.04,-0.59,2331.0,1570654.0,6.784,6.784,6.731,6.785
69,508048,华安外高桥REIT,3.785,-0.03,-0.79,3151.0,1193352.0,3.816,3.816,3.78,3.815
70,508019,中金湖北科投光谷REIT,1.972,-0.016,-0.8,82748.0,16275937.0,1.997,1.998,1.956,1.988
71,508066,华泰江苏交控REIT,6.537,-0.054,-0.82,23417.0,15337766.0,6.6,6.6,6.535,6.591
72,180201,平安广州广河REIT,8.92,-0.078,-0.87,13122.0,11753886.94,9.0,9.018,8.915,8.998
73,508097,华泰南京建邺REIT,3.06,-0.03,-0.97,2584.0,790373.0,3.09,3.09,3.045,3.09
74,508011,嘉实物美消费REIT,4.22,-0.044,-1.03,5890.0,2490822.0,4.275,4.278,4.215,4.264
75,508026,嘉实中国电建清洁能源REIT,4.264,-0.057,-1.32,10581.0,4518812.0,4.313,4.337,4.251,4.321
