序号,代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收
1,180303,华泰宝湾物流REIT,4.596,0.048,1.06,13500.0,6169538.477,4.548,4.6,4.508,4.548
2,180701,银华绍兴原水水利REIT,4.3,0.042,0.99,10765.0,4575450.9,4.258,4.306,4.229,4.258
3,508007,中金山东高速REIT,8.199,0.064,0.79,8191.0,6691683.0,8.184,8.22,8.149,8.135
4,508089,华夏特变电工新能源REIT,4.968,0.038,0.77,20831.0,10332640.0,4.93,4.981,4.93,4.93
5,180605,易方达华威市场REIT,5.434,0.041,0.76,4179.0,2259730.819,5.393,5.434,5.356,5.393
6,508010,中金重庆两江REIT,3.367,0.024,0.72,3293.0,1104043.0,3.346,3.37,3.319,3.343
7,508096,中航京能光伏REIT,11.303,0.072,0.64,8891.0,10036991.0,11.231,11.305,11.23,11.231
8,180106,广发成都高投产业园REIT,3.837,0.023,0.6,1131.0,433573.8,3.821,3.84,3.821,3.814
9,508021,国泰君安临港创新产业园REIT,4.507,0.019,0.42,2391.0,1071510.0,4.476,4.508,4.469,4.488
10,180101,博时蛇口产园REIT,2.002,0.008,0.4,55759.0,11148414.907,1.992,2.004,1.982,1.994
11,180302,华夏深国际REIT,3.17,0.012,0.38,21184.0,6693749.5,3.177,3.191,3.12,3.158
12,508031,国泰君安城投宽庭保租房REIT,4.126,0.015,0.36,17218.0,7118432.0,4.128,4.152,4.111,4.111
13,508028,中信建投国家电投新能源REIT,10.908,0.038,0.35,9189.0,9997031.0,10.869,10.915,10.86,10.87
14,180301,红土创新盐田港REIT,2.298,0.008,0.35,32563.0,7474193.565,2.288,2.304,2.286,2.29
15,180502,招商基金蛇口租赁住房REIT,3.74,0.011,0.29,22493.0,8371768.21,3.716,3.742,3.705,3.729
16,508015,中信建投明阳智能新能源REIT,7.846,0.023,0.29,13848.0,10821195.0,7.823,7.848,7.752,7.823
17,508033,易方达深高速REIT,6.864,0.02,0.29,17364.0,11924708.0,6.844,6.889,6.828,6.844
18,508058,中金厦门安居REIT,4.358,0.01,0.23,39207.0,17039425.0,4.334,4.372,4.306,4.348
19,180602,中金印力消费REIT,4.46,0.01,0.22,7080.0,3158420.0,4.423,4.466,4.411,4.45
20,508098,嘉实京东仓储基础设施REIT,3.915,0.008,0.2,1890.0,739023.0,3.885,3.979,3.885,3.907
21,180203,招商高速公路REIT,7.81,0.015,0.19,4292.0,3347907.5,7.8,7.81,7.771,7.795
22,508009,中金安徽交控REIT,7.587,0.014,0.18,16171.0,12258215.0,7.591,7.603,7.52,7.573
