日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2005-01-04,996.68,986.93,996.68,984.8,2323762,1329187122.0,0.0,0.0,0.0,0.02
2005-01-05,986.57,1003.63,1008.86,985.68,3486101,1919861791.0,2.35,1.69,16.7,0.03
2005-01-06,1003.49,994.6,1003.49,990.79,2933905,1629216031.0,1.27,-0.9,-9.03,0.03
2005-01-07,993.43,997.61,1009.0,990.45,3391626,1906530712.0,1.87,0.3,3.01,0.03
2005-01-10,996.93,1006.34,1006.46,993.12,2949405,1650218869.0,1.34,0.88,8.73,0.03
2005-01-11,1006.21,1008.34,1009.5,999.86,3136115,1778497883.0,0.96,0.2,2.0,0.03
2005-01-12,1008.01,1008.62,1008.74,998.36,3196393,1825638693.0,1.03,0.03,0.28,0.03
2005-01-13,1008.1,1013.07,1014.84,1005.35,4715733,2716827481.0,0.94,0.44,4.45,0.04
2005-01-14,1012.7,1000.17,1019.48,999.27,4016937,2284638759.0,1.99,-1.27,-12.9,0.03
2005-01-17,990.99,977.52,991.02,974.33,4358603,2418653726.0,1.67,-2.26,-22.65,0.04
2005-01-18,977.6,991.42,991.84,974.15,4516132,2523669419.0,1.81,1.42,13.9,0.04
2005-01-19,991.29,986.24,991.29,981.23,4255249,2304569213.0,1.01,-0.52,-5.18,0.04
2005-01-20,983.2,972.46,983.2,966.89,4652048,2588992483.0,1.65,-1.4,-13.78,0.04
2005-01-21,971.5,988.52,989.72,951.43,6185255,3412342279.0,3.94,1.65,16.06,0.05
2005-01-24,1009.95,1008.18,1009.95,998.37,7323355,4105828975.0,1.17,1.99,19.66,0.06
2005-01-25,1006.0,999.55,1006.0,989.95,4694803,2651186737.0,1.59,-0.86,-8.63,0.04
2005-01-26,997.64,987.96,997.64,985.67,4113900,2238628613.0,1.2,-1.16,-11.59,0.04
2005-01-27,986.15,971.37,986.15,970.35,4123213,2214822674.0,1.6,-1.68,-16.59,0.04
2005-01-28,971.37,952.41,971.94,949.11,4072373,2106037353.0,2.35,-1.95,-18.96,0.03
2005-01-31,948.44,922.65,948.44,921.58,4095099,2058937471.0,2.82,-3.12,-29.76,0.04
2005-02-01,919.8,913.33,929.69,911.93,4199745,2076599356.0,1.92,-1.01,-9.32,0.04
2005-02-02,913.03,964.24,964.42,913.03,6553566,3522826077.0,5.63,5.57,50.91,0.06
2005-02-03,963.75,945.31,967.94,944.76,6371300,3476526549.0,2.4,-1.96,-18.93,0.05
2005-02-04,944.45,962.03,963.81,943.47,5193013,2874284614.0,2.15,1.77,16.72,0.04
2005-02-16,967.43,972.34,979.3,965.94,4693322,2555290412.0,1.39,1.07,10.31,0.04
2005-02-17,971.84,977.27,977.44,964.32,4031958,2081885379.0,1.35,0.51,4.93,0.03
2005-02-18,977.12,964.77,977.12,964.55,4112811,2134898913.0,1.29,-1.28,-12.5,0.04
2005-02-21,965.0,981.82,981.89,964.47,4765203,2568576863.0,1.81,1.77,17.05,0.04
2005-02-22,982.42,1007.69,1008.67,980.51,9575789,5328306279.0,2.87,2.63,25.87,0.08
2005-02-23,1008.29,1019.26,1023.33,1002.8,10201823,5822771921.0,2.04,1.15,11.57,0.09
2005-02-24,1018.29,1024.45,1024.87,1012.45,8683232,4874675166.0,1.22,0.51,5.19,0.07
2005-02-25,1024.57,1024.12,1035.47,1023.74,9650761,5608389732.0,1.15,-0.03,-0.33,0.08
2005-02-28,1023.19,1020.85,1026.04,1014.94,7028051,4174609104.0,1.08,-0.32,-3.27,0.06
2005-03-01,1020.6,1021.16,1023.96,1011.56,6675636,3803211754.0,1.21,0.03,0.31,0.06
2005-03-02,1021.36,1006.15,1028.33,1005.34,7457971,4197819828.0,2.25,-1.47,-15.01,0.06
2005-03-03,1004.1,1011.29,1011.7,996.36,5372494,2991525954.0,1.52,0.51,5.14,0.05
2005-03-04,1011.2,1003.21,1012.67,1001.85,4525189,2551598958.0,1.07,-0.8,-8.08,0.04
2005-03-07,1004.34,1006.95,1008.36,1001.86,4475140,2595513439.0,0.65,0.37,3.74,0.04
2005-03-08,1007.68,1029.46,1029.46,1007.68,7187007,4502177472.0,2.16,2.24,22.51,0.06
2005-03-09,1031.6,1032.55,1034.62,1024.89,8257822,5012633412.0,0.95,0.3,3.09,0.07
2005-03-10,1032.27,1005.55,1032.27,1002.42,7106020,4259483416.0,2.89,-2.61,-27.0,0.06
2005-03-11,1003.78,1009.43,1010.86,999.11,5955310,3681413477.0,1.17,0.39,3.88,0.05
2005-03-14,1009.18,1007.77,1016.54,991.06,7550503,4838849569.0,2.52,-0.16,-1.66,0.06
2005-03-15,1007.89,993.83,1007.89,992.02,6499568,4049428975.0,1.57,-1.38,-13.94,0.06
2005-03-16,992.64,983.92,992.64,977.13,5311964,3199203625.0,1.56,-1.0,-9.91,0.05
2005-03-17,983.11,970.97,984.25,970.34,5313307,3178910836.0,1.41,-1.32,-12.95,0.05
2005-03-18,969.12,949.51,973.1,945.6,5393917,3123548577.0,2.83,-2.21,-21.46,0.05
2005-03-21,947.57,949.55,952.76,940.09,4192190,2502435568.0,1.33,0.0,0.04,0.04
2005-03-22,948.78,922.56,949.07,918.09,5795013,3283723310.0,3.26,-2.84,-26.99,0.05
2005-03-23,921.07,923.19,937.68,914.54,5290283,3122090437.0,2.51,0.07,0.63,0.05
2005-03-24,922.18,933.35,933.92,914.65,4319201,2510676346.0,2.09,1.1,10.16,0.04
2005-03-25,933.17,931.42,936.13,927.18,4189844,2271998365.0,0.96,-0.21,-1.93,0.04
2005-03-28,930.17,922.92,930.17,909.17,4019570,2155906688.0,2.25,-0.91,-8.5,0.03
2005-03-29,922.66,916.81,929.46,916.65,3698567,1999394257.0,1.39,-0.66,-6.11,0.03
2005-03-30,915.09,888.95,915.09,887.98,4689495,2457661169.0,2.96,-3.04,-27.86,0.04
2005-03-31,887.07,896.07,896.41,880.88,4125613,2042255429.0,1.75,0.8,7.12,0.04
2005-04-01,895.23,927.55,934.55,884.63,6921793,3665270899.0,5.57,3.51,31.48,0.06
2005-04-04,919.14,909.87,920.62,904.62,5333838,2893226429.0,1.72,-1.91,-17.68,0.05
2005-04-05,908.19,901.74,912.38,899.8,4572502,2391142553.0,1.38,-0.89,-8.13,0.04
2005-04-06,901.74,918.56,921.64,893.03,6805027,3830190110.0,3.17,1.87,16.82,0.06
2005-04-07,919.24,932.33,945.57,917.63,9540235,5349441629.0,3.04,1.5,13.77,0.08
2005-04-08,931.77,949.46,949.47,928.06,7997380,4357191759.0,2.3,1.84,17.13,0.07
2005-04-11,949.85,948.51,957.34,943.72,8688242,4741992562.0,1.43,-0.1,-0.95,0.07
2005-04-12,947.12,927.41,947.12,927.11,6039966,3247372938.0,2.11,-2.22,-21.1,0.05
2005-04-13,932.31,950.23,951.2,932.31,8141086,4490048505.0,2.04,2.46,22.82,0.07
2005-04-14,952.54,935.43,954.14,934.13,6983687,3795040134.0,2.11,-1.56,-14.8,0.06
2005-04-15,931.67,913.27,931.67,911.32,6661596,3459646367.0,2.18,-2.37,-22.16,0.06
2005-04-18,910.89,901.12,910.89,895.28,5003269,2575525210.0,1.71,-1.33,-12.15,0.04
2005-04-19,899.93,902.79,905.05,893.29,4798602,2427298091.0,1.31,0.19,1.67,0.04
2005-04-20,902.22,884.08,902.22,880.93,5321650,2598639279.0,2.36,-2.07,-18.71,0.05
2005-04-21,881.68,867.33,886.44,863.14,6250349,3136724162.0,2.64,-1.89,-16.75,0.05
2005-04-22,865.82,857.4,870.01,851.34,6224884,3135517460.0,2.15,-1.14,-9.93,0.05
2005-04-25,846.14,841.06,847.81,829.55,5819861,2874936589.0,2.13,-1.91,-16.34,0.05
2005-04-26,839.25,855.24,858.11,835.86,6199955,2916330757.0,2.65,1.69,14.18,0.05
