date,open,high,low,close,volume,amount
2004-01-02,1111.92,1118.85,1105.08,1108.48,1153200000,1281300000000
2004-01-05,1108.48,1122.22,1108.48,1122.22,1578200064,1760250000000
2004-01-06,1122.22,1124.46,1118.4399,1123.67,1494499968,1677120000000
2004-01-07,1123.67,1126.33,1116.45,1126.33,1704899968,1914940000000
2004-01-08,1126.33,1131.92,1124.91,1131.92,1868400000,2108990000000
2004-01-09,1131.92,1131.92,1120.9,1121.86,1720700032,1938630000000
2004-01-12,1121.86,1127.85,1120.9,1127.23,1510200064,1698160000000
2004-01-13,1127.23,1129.0699,1115.1899,1121.22,1595900032,1792480000000
2004-01-14,1121.22,1130.75,1121.22,1130.52,1514599936,1705330000000
2004-01-15,1130.52,1137.11,1124.54,1132.05,1695000064,1917140000000
2004-01-16,1132.05,1139.83,1132.05,1139.83,1721100032,1955070000000
2004-01-20,1139.83,1142.9301,1135.4,1138.77,1698200064,1934640000000
2004-01-21,1138.77,1149.21,1134.62,1147.62,1757600000,2008150000000
2004-01-22,1147.62,1150.51,1143.01,1143.9399,1693699968,1941440000000
2004-01-23,1143.9399,1150.3101,1136.85,1141.55,1561200000,1784710000000
2004-01-26,1141.55,1155.38,1141.0,1155.37,1480600064,1700210000000
2004-01-27,1155.37,1155.37,1144.05,1144.05,1673100032,1923580000000
2004-01-28,1144.05,1149.14,1126.5,1128.48,1842000000,2094430000000
2004-01-29,1128.48,1134.39,1122.38,1134.11,1921900032,2171440000000
2004-01-30,1134.11,1134.17,1127.73,1131.13,1635000064,1850470000000
2004-02-02,1131.13,1142.45,1127.87,1135.26,1599200000,1813780000000
2004-02-03,1135.26,1137.4399,1131.33,1136.03,1476899968,1676300000000
2004-02-04,1136.03,1136.03,1124.74,1126.52,1634800000,1848680000000
2004-02-05,1126.52,1131.17,1124.4399,1128.59,1566599936,1766620000000
2004-02-06,1128.59,1142.79,1128.39,1142.76,1477600000,1678010000000
2004-02-09,1142.76,1144.46,1139.21,1139.8101,1303500032,1488020000000
2004-02-10,1139.8101,1147.02,1138.7,1145.54,1403900032,1604330000000
2004-02-11,1145.54,1158.89,1142.33,1157.76,1699299968,1956120000000
2004-02-12,1157.76,1157.76,1151.4399,1152.11,1464300032,1690930000000
2004-02-13,1152.11,1156.88,1143.24,1145.8101,1329200000,1527930000000
2004-02-17,1145.8101,1158.98,1145.8101,1156.99,1396499968,1608620000000
2004-02-18,1156.99,1157.4,1149.54,1151.8199,1382400000,1595200000000
2004-02-19,1151.8199,1158.5699,1146.85,1147.0601,1562800000,1798900000000
2004-02-20,1147.0601,1149.8101,1139.0,1144.11,1479600000,1694130000000
2004-02-23,1144.11,1146.6899,1136.98,1140.99,1380400000,1576680000000
2004-02-24,1140.99,1144.54,1134.4301,1139.09,1543600000,1759340000000
2004-02-25,1139.09,1145.24,1138.96,1143.67,1360700032,1553570000000
2004-02-26,1143.67,1147.23,1138.62,1144.91,1383900032,1582640000000
2004-02-27,1145.8,1151.6801,1141.8,1144.9399,1540400000,1765380000000
2004-03-01,1144.9399,1157.45,1144.9399,1155.97,1497100032,1722900000000
2004-03-02,1155.97,1156.54,1147.3101,1149.1,1476000000,1700690000000
2004-03-03,1149.1,1152.4399,1143.78,1151.03,1334499968,1533460000000
2004-03-04,1151.03,1154.97,1149.8101,1154.87,1265799936,1459050000000
2004-03-05,1154.87,1163.23,1148.77,1156.86,1398200064,1616220000000
2004-03-08,1156.86,1159.9399,1146.97,1147.2,1254400000,1446000000000
2004-03-09,1147.2,1147.3199,1136.84,1140.58,1499399936,1713790000000
2004-03-10,1140.58,1141.45,1122.53,1123.89,1648400000,1866170000000
2004-03-11,1123.89,1125.96,1105.87,1106.78,1889900032,2108420000000
2004-03-12,1106.78,1120.63,1106.78,1120.5699,1388499968,1546360000000
2004-03-15,1120.5699,1120.5699,1103.36,1104.49,1600600064,1780260000000
2004-03-16,1104.49,1113.76,1102.61,1110.7,1500700032,1662610000000
2004-03-17,1110.7,1125.76,1110.7,1123.75,1490099968,1665530000000
2004-03-18,1123.75,1125.5,1113.25,1122.3199,1369200000,1535150000000
2004-03-19,1122.3199,1122.72,1109.6899,1109.78,1457400064,1626640000000
2004-03-22,1109.78,1109.78,1089.54,1095.4,1452300032,1599160000000
2004-03-23,1095.4,1101.52,1091.5699,1093.95,1458200064,1597620000000
2004-03-24,1093.95,1098.3199,1087.16,1091.33,1527800064,1669410000000
2004-03-25,1091.33,1110.38,1091.33,1109.1899,1471699968,1619690000000
2004-03-26,1109.1899,1115.27,1106.13,1108.0601,1319100032,1463760000000
2004-03-29,1108.0601,1124.37,1108.0601,1122.47,1405500032,1568170000000
2004-03-30,1122.47,1127.6,1119.66,1127.0,1332400000,1497860000000
2004-03-31,1127.0,1130.83,1121.46,1126.21,1560700032,1757930000000
2004-04-01,1126.21,1135.67,1126.2,1132.17,1560700032,1763690000000
2004-04-02,1132.17,1144.8101,1132.17,1141.8101,1629200000,1853610000000
2004-04-05,1141.8101,1150.5699,1141.64,1150.5699,1413699968,1620310000000
2004-04-06,1150.5699,1150.5699,1143.3,1148.16,1397699968,1604770000000
2004-04-07,1148.16,1148.16,1138.41,1140.53,1458800000,1668600000000
2004-04-08,1140.53,1148.97,1134.52,1139.3199,1199800064,1368770000000
2004-04-12,1139.3199,1147.29,1139.3199,1145.2,1102400000,1259800000000
2004-04-13,1145.2,1147.78,1127.7,1129.4399,1423200000,1618930000000
2004-04-14,1129.4399,1132.52,1122.15,1128.17,1547699968,1745910000000
2004-04-15,1128.17,1134.08,1120.75,1128.84,1568700032,1769430000000
2004-04-16,1128.84,1136.8,1126.9,1134.61,1487800064,1683870000000
2004-04-19,1134.5601,1136.1801,1129.84,1135.8199,1194899968,1355140000000
2004-04-20,1135.8199,1139.26,1118.09,1118.15,1508499968,1701330000000
2004-04-21,1118.15,1125.72,1116.03,1124.09,1738099968,1948410000000
2004-04-22,1124.09,1142.77,1121.95,1139.9301,1826700032,2068160000000
