日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2005-01-04,997.27,981.18,997.27,977.55,11334,630699524.0,0.0,0.0,0.0,0.0
2005-01-05,980.48,985.46,991.43,974.98,9041,512585913.0,1.68,0.44,4.28,0.0
2005-01-06,986.23,976.06,986.74,971.73,9422,581597675.0,1.52,-0.95,-9.4,0.0
2005-01-07,975.66,982.92,989.12,972.62,9289,580349953.0,1.69,0.7,6.86,0.0
2005-01-10,981.2,988.17,989.25,976.52,7580,470255277.0,1.3,0.53,5.25,0.0
2005-01-11,988.16,989.99,994.39,985.82,7363,460814402.0,0.87,0.18,1.82,0.0
2005-01-12,990.37,988.35,990.37,982.92,6263,367557425.0,0.75,-0.17,-1.64,0.0
2005-01-13,988.17,988.5,991.48,983.97,7440,452453241.0,0.76,0.02,0.15,0.0
2005-01-14,988.9,983.53,1000.84,981.44,8810,518093987.0,1.96,-0.5,-4.97,0.0
2005-01-17,976.16,959.57,977.92,958.3,11294,686559020.0,1.99,-2.44,-23.96,0.0
2005-01-18,958.51,964.72,966.09,950.8,12431,650845644.0,1.59,0.54,5.15,0.0
2005-01-19,964.0,959.13,964.04,956.66,8790,475270718.0,0.76,-0.58,-5.59,0.0
2005-01-20,954.31,952.42,957.81,947.17,11939,655045910.0,1.11,-0.7,-6.71,0.0
2005-01-21,950.69,980.39,982.59,946.75,20314,1152699897.0,3.76,2.94,27.97,0.0
2005-01-24,996.59,995.5,1002.74,982.94,19832,1143463110.0,2.02,1.54,15.11,0.0
2005-01-25,992.59,1000.48,1000.96,983.92,13869,844967296.0,1.71,0.5,4.98,0.0
2005-01-26,999.07,992.15,1000.86,990.41,9504,582024563.0,1.04,-0.83,-8.33,0.0
2005-01-27,990.98,979.56,991.12,977.21,9220,536949444.0,1.4,-1.27,-12.59,0.0
2005-01-28,977.59,971.96,979.19,968.61,8174,487033056.0,1.08,-0.78,-7.6,0.0
2005-01-31,970.08,962.9,973.88,961.26,9812,579592089.0,1.3,-0.93,-9.06,0.0
2005-02-01,961.19,965.28,974.0,960.09,10235,628711916.0,1.44,0.25,2.38,0.0
2005-02-02,965.79,1015.56,1015.79,965.79,27594,1650364149.0,5.18,5.21,50.28,0.0
2005-02-03,1015.58,1009.4,1027.79,1001.28,30777,1900820400.0,2.61,-0.61,-6.16,0.0
2005-02-04,1007.23,1032.17,1037.34,1004.07,30929,1901395289.0,3.3,2.26,22.77,0.0
2005-02-16,1038.29,1039.82,1049.45,1031.49,23518,1442907777.0,1.74,0.74,7.65,0.0
2005-02-17,1040.28,1032.37,1040.28,1024.59,14076,885688117.0,1.51,-0.72,-7.45,0.0
2005-02-18,1031.53,1016.99,1034.52,1016.67,13250,809628326.0,1.73,-1.49,-15.38,0.0
2005-02-21,1016.93,1037.46,1037.75,1016.93,14804,917209063.0,2.05,2.01,20.47,0.0
2005-02-22,1037.93,1054.07,1057.59,1034.23,27848,1749618504.0,2.25,1.6,16.61,0.0
2005-02-23,1054.26,1052.91,1058.66,1043.29,30772,1974103163.0,1.46,-0.11,-1.16,0.0
2005-02-24,1051.07,1052.3,1053.3,1040.31,26989,1719058778.0,1.23,-0.06,-0.61,0.0
2005-02-25,1054.59,1052.36,1066.03,1051.74,30140,1941654399.0,1.36,0.01,0.06,0.0
2005-02-28,1050.82,1044.45,1054.96,1038.49,21394,1387079279.0,1.57,-0.75,-7.91,0.0
2005-03-01,1044.15,1038.29,1045.84,1035.73,15173,1023882172.0,0.97,-0.59,-6.16,0.0
2005-03-02,1038.58,1019.32,1045.49,1018.77,25810,1672757281.0,2.57,-1.83,-18.97,0.0
2005-03-03,1016.94,1027.63,1028.57,1012.81,15447,934168741.0,1.55,0.82,8.31,0.0
2005-03-04,1027.91,1021.31,1030.51,1019.58,11798,752791165.0,1.06,-0.62,-6.32,0.0
2005-03-07,1022.06,1025.32,1027.62,1019.21,13243,848434496.0,0.82,0.39,4.01,0.0
2005-03-08,1028.45,1042.22,1042.45,1027.39,21843,1440023650.0,1.47,1.65,16.9,0.0
2005-03-09,1044.42,1044.42,1049.31,1037.87,23213,1580897493.0,1.1,0.21,2.2,0.0
2005-03-10,1044.32,1019.44,1044.66,1017.81,18126,1223911413.0,2.57,-2.39,-24.98,0.0
2005-03-11,1017.64,1023.99,1024.9,1014.07,17478,1191433301.0,1.06,0.45,4.55,0.0
2005-03-14,1024.12,1028.63,1039.04,1012.16,21604,1587904490.0,2.63,0.45,4.64,0.0
2005-03-15,1028.53,1007.43,1029.4,1006.0,18988,1316264502.0,2.27,-2.06,-21.2,0.0
2005-03-16,1005.81,1000.25,1007.83,992.19,15727,1060092327.0,1.55,-0.71,-7.18,0.0
2005-03-17,1000.6,986.17,1000.6,985.08,14046,936040772.0,1.55,-1.41,-14.08,0.0
2005-03-18,985.73,975.7,988.77,974.28,15254,985095822.0,1.47,-1.06,-10.47,0.0
2005-03-21,976.0,980.71,982.68,974.46,12498,791474901.0,0.84,0.51,5.01,0.0
2005-03-22,979.85,968.31,981.42,965.83,17117,1055287464.0,1.59,-1.26,-12.4,0.0
2005-03-23,967.42,959.88,973.39,956.38,16338,1014229615.0,1.76,-0.87,-8.43,0.0
2005-03-24,959.32,967.41,968.21,952.16,11712,735356680.0,1.67,0.78,7.53,0.0
2005-03-25,967.02,965.42,970.82,961.11,10047,576012814.0,1.0,-0.21,-1.99,0.0
2005-03-28,965.17,964.94,965.64,953.72,9434,550555640.0,1.23,-0.05,-0.48,0.0
2005-03-29,964.86,960.13,971.61,959.37,10020,596681285.0,1.27,-0.5,-4.81,0.0
2005-03-30,958.34,947.26,958.34,945.94,12071,708214328.0,1.29,-1.34,-12.87,0.0
2005-03-31,943.55,951.06,951.41,934.99,12863,665285637.0,1.73,0.4,3.8,0.0
2005-04-01,950.04,982.74,994.83,945.24,27362,1555147876.0,5.21,3.33,31.68,0.0
2005-04-04,974.31,963.6,978.94,963.22,17328,1096992578.0,1.6,-1.95,-19.14,0.0
2005-04-05,960.45,952.71,968.57,951.39,14020,836090475.0,1.78,-1.13,-10.89,0.0
2005-04-06,951.88,964.73,970.81,946.01,21143,1289264594.0,2.6,1.26,12.02,0.0
2005-04-07,966.19,971.15,987.7,961.87,30404,1800777374.0,2.68,0.67,6.42,0.0
2005-04-08,971.36,989.07,989.49,965.19,18619,1167731201.0,2.5,1.85,17.92,0.0
2005-04-11,989.18,983.88,992.26,979.63,24810,1472842780.0,1.28,-0.52,-5.19,0.0
2005-04-12,980.8,970.75,981.7,969.79,14137,817044959.0,1.21,-1.33,-13.13,0.0
2005-04-13,980.39,995.04,999.81,980.39,28986,1664064719.0,2.0,2.5,24.29,0.0
2005-04-14,1000.74,988.56,1002.42,987.46,21009,1207616183.0,1.5,-0.65,-6.48,0.0
2005-04-15,985.85,977.55,985.85,974.72,18353,1110772195.0,1.13,-1.11,-11.01,0.0
2005-04-18,974.92,963.62,976.08,958.89,17199,974755542.0,1.76,-1.42,-13.93,0.0
2005-04-19,962.32,961.52,967.99,955.47,19160,1165593425.0,1.3,-0.22,-2.1,0.0
2005-04-20,960.82,955.56,961.75,948.03,11715,678309971.0,1.43,-0.62,-5.96,0.0
2005-04-21,954.37,947.14,957.79,942.28,12182,724771298.0,1.62,-0.88,-8.42,0.0
2005-04-22,945.35,947.88,952.17,942.43,12634,722642296.0,1.03,0.08,0.74,0.0
2005-04-25,946.4,939.67,946.64,932.04,13875,774217027.0,1.54,-0.87,-8.21,0.0
2005-04-26,938.47,942.14,948.07,933.42,13599,774164467.0,1.56,0.26,2.47,0.0
2005-04-27,931.55,920.38,934.39,919.7,22053,1184086086.0,1.56,-2.31,-21.76,0.0
2005-04-28,915.62,926.34,929.76,906.37,24389,1322785070.0,2.54,0.65,5.96,0.0
2005-04-29,925.54,916.1,927.13,913.8,15404,849324858.0,1.44,-1.11,-10.24,0.0
2005-05-09,916.63,898.54,923.27,898.36,16982,937661339.0,2.72,-1.92,-17.56,0.0
2005-05-10,897.28,904.66,904.79,887.26,14160,801136428.0,1.95,0.68,6.12,0.0
2005-05-11,903.61,896.52,909.19,895.66,11784,606287986.0,1.5,-0.9,-8.14,0.0
2005-05-12,895.43,873.19,896.11,872.07,21665,1097052130.0,2.68,-2.6,-23.33,0.0
2005-05-13,871.82,869.6,887.18,861.79,26717,1203468151.0,2.91,-0.41,-3.59,0.0
2005-05-16,868.11,859.83,868.73,850.27,15302,690183356.0,2.12,-1.12,-9.77,0.0
2005-05-17,857.46,863.85,873.0,852.39,15664,737293478.0,2.4,0.47,4.02,0.0
2005-05-18,863.86,864.98,871.51,855.52,11239,580234614.0,1.85,0.13,1.13,0.0
2005-05-19,864.53,864.74,868.18,849.9,17761,786580389.0,2.11,-0.03,-0.24,0.0
2005-05-20,863.16,863.71,870.4,858.19,11740,560646242.0,1.41,-0.12,-1.03,0.0
2005-05-23,860.59,839.16,860.59,838.86,13002,604228719.0,2.52,-2.84,-24.55,0.0
2005-05-24,836.68,838.4,841.85,822.65,20236,913188683.0,2.29,-0.09,-0.76,0.0
2005-05-25,837.82,837.35,845.56,832.01,11585,549048684.0,1.62,-0.13,-1.05,0.0
2005-05-26,836.61,830.97,843.21,828.75,10978,491837001.0,1.73,-0.76,-6.38,0.0
2005-05-27,829.34,825.85,838.31,824.12,12311,562397781.0,1.71,-0.62,-5.12,0.0
2005-05-30,824.56,831.89,834.96,819.32,11594,534731569.0,1.89,0.73,6.04,0.0
2005-05-31,834.25,834.57,842.88,832.22,13730,609084383.0,1.28,0.32,2.68,0.0
2005-06-01,834.46,820.33,841.69,819.14,12623,581976054.0,2.7,-1.71,-14.24,0.0
2005-06-02,818.74,802.81,819.2,796.23,17913,832474970.0,2.8,-2.14,-17.52,0.0
2005-06-03,800.63,797.74,803.96,788.28,11987,536104836.0,1.95,-0.63,-5.07,0.0
2005-06-06,795.24,813.7,814.07,784.76,14627,639822007.0,3.67,2.0,15.96,0.0
