股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
00355,世纪城市国际,12.5,0.081,0.09,0.074,0.075,0.009,2.32,3.22,-0.25,71654500,5998122.0,0.072,250498104,250498104,128.00355,港股,2025-09-02 16:08:02,2025-09-02
01090,大明国际,12.05,0.93,0.95,0.79,0.84,0.1,0.05,1.57,-2.67,658000,599720.0,0.83,1185311040,1185311040,128.01090,港股,2025-09-02 15:08:47,2025-09-02
02252,微创机器人-B,12.01,25.0,25.42,22.04,22.32,2.68,2.22,3.11,-50.13,22797092,545596144.0,22.32,25783258275,25618269700,128.02252,港股,2025-09-02 16:08:02,2025-09-02
01223,新沣集团,11.45,1.46,1.47,1.31,1.31,0.15,0.18,1.29,-33.91,5465285,7500781.0,1.31,4342368840,4342368840,128.01223,港股,2025-09-02 16:08:02,2025-09-02
01116,慧源同创科技,11.33,0.226,0.232,0.203,0.204,0.023,0.06,0.95,-25.65,1350000,284280.0,0.203,487708000,487708000,128.01116,港股,2025-09-02 15:59:24,2025-09-02
00897,位元堂,10.94,0.355,0.355,0.325,0.325,0.035,0.32,6.64,56.26,3551676,1211231.0,0.32,399411525,399411525,128.00897,港股,2025-09-02 16:08:02,2025-09-02
03666,上海小南国,10.81,0.041,0.042,0.036,0.037,0.004,0.09,0.28,-1.37,2280000,89554.0,0.037,108881117,108881117,128.03666,港股,2025-09-02 15:55:39,2025-09-02
00558,力劲科技,10.7,6.0,6.17,5.4,5.47,0.58,8.31,3.16,23.38,113423301,661834016.0,5.42,8186349000,8186349000,128.00558,港股,2025-09-02 16:08:02,2025-09-02
01455,科利实业控股,10.45,0.243,0.255,0.224,0.225,0.023,0.44,7.03,7.45,5605000,1345230.0,0.22,310690688,310690688,128.01455,港股,2025-09-02 15:55:30,2025-09-02
00733,合富辉煌,10.29,0.375,0.375,0.34,0.34,0.035,0.0,0.09,-0.82,20000,7430.0,0.34,252806246,252806246,128.00733,港股,2025-09-02 15:45:45,2025-09-02
08158,中国再生医学,10.26,0.86,0.93,0.85,0.85,0.08,0.1,5.12,206.35,310150,277977.0,0.78,261657133,261657133,128.08158,港股,2025-09-02 13:27:57,2025-09-02
01466,佰金生命科学,10.2,0.54,0.57,0.5,0.53,0.05,0.15,9.59,-1319.91,1120000,605440.0,0.49,417091179,417091179,128.01466,港股,2025-09-02 16:08:02,2025-09-02
02310,时代环球集团,10.0,0.044,0.054,0.044,0.045,0.004,0.13,24.53,-5.06,1472000,70472.0,0.04,48086597,48086597,128.02310,港股,2025-09-02 15:35:24,2025-09-02
01348,滉达富控股,10.0,0.11,0.125,0.1,0.104,0.01,0.79,0.99,-9.07,11706000,1308856.0,0.1,162165520,162165520,128.01348,港股,2025-09-02 15:59:58,2025-09-02
01073,大禹金融,9.72,0.158,0.164,0.145,0.145,0.014,0.07,5.19,47.14,2551400,412872.0,0.144,540042510,540042510,128.01073,港股,2025-09-02 15:55:51,2025-09-02
01459,巨匠建设,9.72,0.395,0.425,0.395,0.41,0.035,0.07,1.62,-17.49,96000,40550.0,0.36,210677200,52677200,128.01459,港股,2025-09-02 15:20:33,2025-09-02
00376,云锋金融,9.55,3.67,3.99,3.55,3.85,0.32,1.76,3.42,18.77,68221100,252984277.0,3.35,14195529440,14195529440,128.00376,港股,2025-09-02 16:08:02,2025-09-02
