股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
BK0677,粤港自贸,-0.91,3429.25,3456.58,3390.42,3456.49,-31.33,2.53,1.07,21.34,25300341,23670504562.0,3460.58,1083853264000,930167456000,90.BK0677,板块,2025-09-02 15:39:40,2025-09-02
BK0672,沪企改革,-0.93,2918.26,2945.55,2892.67,2945.1,-27.41,1.67,0.91,26.75,15351384,18943466022.0,2945.67,1021071232000,922968704000,90.BK0672,板块,2025-09-02 15:39:40,2025-09-02
BK1158,微盘股,-0.93,3049.11,3080.72,2992.6,3080.72,-28.5,4.11,0.92,-78.98,33734474,33020959455.0,3077.61,927576784000,785959376000,90.BK1158,板块,2025-09-02 15:39:40,2025-09-02
BK0519,稀缺资源,-0.94,27523.54,27897.26,27324.57,27897.26,-262.56,2.65,1.07,18.98,53749803,91450416828.0,27786.1,3862162256000,3326190576000,90.BK0519,板块,2025-09-02 15:39:40,2025-09-02
BK0966,碳交易,-0.95,1773.73,1792.59,1756.27,1792.16,-17.02,1.7,0.92,34.38,55801533,54126859098.0,1790.75,2695274656000,2320655328000,90.BK0966,板块,2025-09-02 15:39:40,2025-09-02
BK0900,新能源车,-0.95,2353.87,2378.03,2303.38,2377.45,-22.58,4.95,1.06,32.67,267931911,553776043370.0,2376.45,14043784448000,11858400256000,90.BK0900,板块,2025-09-02 15:39:40,2025-09-02
BK0834,乡村振兴,-0.96,1674.59,1690.89,1657.72,1690.5,-16.27,3.5,1.06,30.56,55074279,44689239862.0,1690.86,1651625600000,1396179408000,90.BK0834,板块,2025-09-02 15:39:40,2025-09-02
BK0636,B股,-0.97,962.81,972.54,957.75,972.47,-9.4,0.34,0.61,28.3,901552,150308848.0,972.21,714034400000,122716056000,90.BK0636,板块,2025-09-02 15:39:40,2025-09-02
BK1150,新型工业化,-0.97,1465.25,1489.23,1436.25,1487.25,-14.42,5.2,1.09,57.34,42921857,93393602917.0,1479.67,2467432928000,2247187840000,90.BK1150,板块,2025-09-02 15:39:40,2025-09-02
BK0505,中字头,-0.97,9052.42,9141.52,8969.62,9141.49,-88.65,0.73,0.96,12.38,82083761,109485329399.0,9141.07,15915528192000,10084396288000,90.BK0505,板块,2025-09-02 15:39:40,2025-09-02
BK0868,GDR,-0.98,1102.03,1122.35,1094.51,1117.27,-10.91,1.89,1.18,14.49,11682409,26954183298.0,1112.94,1641780080000,1462431072000,90.BK0868,板块,2025-09-02 15:39:40,2025-09-02
BK1072,中俄贸易概念,-0.98,1697.97,1717.93,1670.08,1716.75,-16.75,3.94,1.08,39.6,26524880,23319520823.0,1714.72,668965056000,573917984000,90.BK1072,板块,2025-09-02 15:39:40,2025-09-02
BK0604,参股保险,-0.99,2709.21,2736.37,2688.94,2735.43,-27.19,1.26,1.13,10.48,83033234,69044848814.0,2736.4,6383189504000,5378318336000,90.BK0604,板块,2025-09-02 15:39:40,2025-09-02
BK0898,胎压监测,-1.0,2465.8,2489.58,2402.97,2488.43,-24.98,4.31,0.99,41.28,7849285,17160193976.0,2490.78,362781440000,342132144000,90.BK0898,板块,2025-09-02 15:39:40,2025-09-02
BK0870,单抗概念,-1.02,2027.85,2077.06,2010.17,2059.45,-20.96,2.63,1.14,69.96,12211944,41251642518.0,2048.81,2098627920000,1455029872000,90.BK0870,板块,2025-09-02 15:39:40,2025-09-02
BK0852,冷链物流,-1.02,2117.84,2140.49,2093.46,2140.17,-21.89,2.88,0.99,31.0,38926813,66893174755.0,2139.73,1772297568000,1597738880000,90.BK0852,板块,2025-09-02 15:39:40,2025-09-02
BK0943,汽车拆解,-1.03,1246.55,1266.64,1232.36,1266.64,-12.93,3.67,0.85,-93.04,11074255,7569285582.0,1259.48,258118397000,216929360000,90.BK0943,板块,2025-09-02 15:39:40,2025-09-02
BK0500,HS300_,-1.03,11904.29,12058.53,11824.41,12023.96,-124.35,0.93,0.97,14.15,303932566,777999297968.0,12028.64,65061984000000,49749095680000,90.BK0500,板块,2025-09-02 15:39:40,2025-09-02
BK1090,机器人概念,-1.04,2046.35,2070.26,1995.21,2069.96,-21.55,4.86,1.02,54.12,213726888,469494929525.0,2067.9,9669481472000,8475785728000,90.BK1090,板块,2025-09-02 15:39:40,2025-09-02
BK1107,科创板做市商,-1.04,1631.76,1654.74,1619.7,1650.24,-17.16,1.09,0.88,16.41,13118828,19764032134.0,1648.92,2187392448000,1835283360000,90.BK1107,板块,2025-09-02 15:39:40,2025-09-02
BK0498,AB股,-1.05,12301.13,12419.58,12179.56,12419.58,-131.15,1.94,0.87,69.47,29839577,23386741248.0,12432.28,1404991168000,1085837584000,90.BK0498,板块,2025-09-02 15:39:40,2025-09-02
BK0812,贬值受益,-1.06,1639.57,1658.56,1615.4,1657.98,-17.55,3.66,1.09,28.64,43025910,115141524575.0,1657.12,3283982736000,2554662320000,90.BK0812,板块,2025-09-02 15:39:40,2025-09-02
BK0514,参股券商,-1.06,15290.22,15448.02,15174.16,15446.23,-164.58,1.8,0.89,14.48,57920506,81430090867.0,15454.8,4360279808000,3644529712000,90.BK0514,板块,2025-09-02 15:39:40,2025-09-02
BK0683,央国企改革,-1.07,4899.55,4953.88,4855.67,4953.71,-52.93,1.65,0.97,16.43,644298143,755824566591.0,4952.48,50776172800000,38551637504000,90.BK0683,板块,2025-09-02 15:39:40,2025-09-02
