时间,前值,现值,发布日期
2010年12月,0.4,0.5,2011-03-02
2010年11月,0.2,0.4,2011-01-31
2010年10月,-0.1,0.2,2010-12-31
2010年09月,0.3,-0.1,2010-12-01
2010年08月,-0.1,0.3,2010-10-31
2010年07月,0.2,-0.1,2010-09-30
2010年06月,0.1,0.2,2010-08-31
2010年05月,0.0,0.1,2010-07-31
2010年04月,0.6,0.0,2010-07-01
2010年03月,0.3,0.6,2010-05-31
2010年02月,0.6,0.3,2010-05-03
2010年01月,0.6,0.6,2010-04-02
2009年12月,0.4,0.6,2010-03-02
2009年11月,0.2,0.4,2010-01-31
2009年10月,0.4,0.2,2009-12-31
2009年09月,-0.1,0.4,2009-12-01
2009年08月,0.0,-0.1,2009-10-31
2009年07月,0.1,0.0,2009-09-30
2009年06月,-0.5,0.1,2009-08-31
2009年05月,-0.1,-0.5,2009-07-31
2009年04月,-0.3,-0.1,2009-07-01
2009年03月,-0.1,-0.3,2009-05-31
2009年02月,-0.7,-0.1,2009-05-03
2009年01月,-1.0,-0.7,2009-04-02
2008年12月,-0.7,-1.0,2009-03-02
2008年11月,-0.1,-0.7,2009-01-31
2008年10月,0.1,-0.1,2008-12-31
2008年09月,-0.3,0.1,2008-12-01
2008年08月,0.7,-0.3,2008-10-31
2008年07月,-0.1,0.7,2008-09-30
2008年05月,0.4,-0.1,2008-07-31
2008年04月,-0.2,0.4,2008-07-01
2008年03月,-0.2,-0.2,2008-05-31
2008年02月,0.6,-0.2,2008-05-02
2008年01月,-0.7,0.6,2008-04-01
