日期,今值,预测值,前值
2020-04-29,4.8,2.1,-4.0
2020-05-28,2.1,2.1,-4.8
2020-06-25,2.1,-5.0,-5.0
2020-07-30,-5.0,-5.0,-34.1
2020-08-27,-5.0,-5.0,-32.5
2020-09-30,-5.0,-31.4,-31.7
2020-10-29,-31.4,33.1,31.0
2020-11-25,33.1,-31.4,33.2
2020-12-22,-31.4,33.4,33.1
2021-01-28,33.4,4.0,4.0
2021-02-25,4.0,33.4,4.2
2021-03-25,33.4,4.3,4.1
2021-04-29,4.3,0.0,4.0
2022-04-28,-1.4,1.1,6.9
2022-05-26,-1.5,-1.3,-1.4
2022-06-29,-1.6,-1.5,-1.5
2022-07-28,-0.9,0.5,-1.6
2022-08-25,-0.6,-0.8,-0.9
2022-09-29,-0.6,-0.6,-1.6
2022-10-27,2.6,2.4,-0.6
2022-11-30,2.9,2.7,2.6
2022-12-22,3.2,2.9,-0.6
2023-01-26,2.9,2.6,3.2
2023-02-23,2.7,2.9,3.2
2023-03-30,2.6,2.7,3.2
2023-04-27,1.1,2.0,2.6
2023-05-25,1.3,1.1,2.6
2023-06-29,2.0,1.4,2.6
2023-07-27,2.4,1.8,2.0
2023-08-30,2.1,2.4,2.0
2023-09-28,2.1,2.1,2.0
2023-10-26,4.9,4.3,2.1
2023-11-29,,5.0,2.1
