商品,日期,今值,预测值,前值
欧元区CPI年率,1991-02-01,0.0,,
欧元区CPI年率,1991-03-01,4.1,,3.9
欧元区CPI年率,1991-04-01,3.9,,4.1
欧元区CPI年率,1991-05-01,3.9,,3.9
欧元区CPI年率,1991-06-01,4.1,,3.9
欧元区CPI年率,1991-07-01,4.3,,4.1
欧元区CPI年率,1991-08-01,5.0,,4.3
欧元区CPI年率,1991-09-01,4.5,,5.0
欧元区CPI年率,1991-10-01,3.9,,4.5
欧元区CPI年率,1991-11-01,3.7,,3.9
欧元区CPI年率,1991-12-01,4.1,,3.7
欧元区CPI年率,1992-01-01,4.1,,4.1
欧元区CPI年率,1992-02-01,3.9,,4.1
欧元区CPI年率,1992-03-01,3.8,,3.9
欧元区CPI年率,1992-04-01,4.3,,3.8
欧元区CPI年率,1992-05-01,4.2,,4.3
欧元区CPI年率,1992-06-01,4.0,,4.2
欧元区CPI年率,1992-07-01,3.9,,4.0
欧元区CPI年率,1992-08-01,3.3,,3.9
欧元区CPI年率,1992-09-01,3.3,,3.3
欧元区CPI年率,1992-10-01,3.3,,3.3
欧元区CPI年率,1992-11-01,3.2,,3.3
欧元区CPI年率,1992-12-01,3.1,,3.2
欧元区CPI年率,1993-01-01,3.2,,3.1
欧元区CPI年率,1993-02-01,3.4,,3.2
欧元区CPI年率,1993-03-01,3.4,,3.4
欧元区CPI年率,1993-04-01,3.2,,3.4
欧元区CPI年率,1993-05-01,3.2,,3.2
欧元区CPI年率,1993-06-01,3.1,,3.2
欧元区CPI年率,1993-07-01,3.1,,3.1
欧元区CPI年率,1993-08-01,3.3,,3.1
欧元区CPI年率,1993-09-01,3.3,,3.3
欧元区CPI年率,1993-10-01,3.3,,3.3
欧元区CPI年率,1993-11-01,3.3,,3.3
欧元区CPI年率,1993-12-01,3.2,,3.3
欧元区CPI年率,1994-01-01,3.2,,3.2
欧元区CPI年率,1994-02-01,2.9,,3.2
欧元区CPI年率,1994-03-01,2.9,,2.9
欧元区CPI年率,1994-04-01,2.8,,2.9
欧元区CPI年率,1994-05-01,2.7,,2.8
欧元区CPI年率,1994-06-01,2.8,,2.7
欧元区CPI年率,1994-07-01,2.7,,2.8
欧元区CPI年率,1994-08-01,2.6,,2.7
欧元区CPI年率,1994-09-01,2.7,,2.6
欧元区CPI年率,1994-10-01,2.7,,2.7
欧元区CPI年率,1994-11-01,2.6,,2.7
欧元区CPI年率,1994-12-01,2.4,,2.6
欧元区CPI年率,1995-01-01,2.6,,2.4
欧元区CPI年率,1995-02-01,2.4,,2.6
欧元区CPI年率,1995-03-01,2.4,,2.4
欧元区CPI年率,1995-04-01,2.5,,2.4
欧元区CPI年率,1995-05-01,2.6,,2.5
欧元区CPI年率,1995-06-01,2.4,,2.6
欧元区CPI年率,1995-07-01,2.6,,2.4
欧元区CPI年率,1995-08-01,2.4,,2.6
欧元区CPI年率,1995-09-01,2.3,,2.4
欧元区CPI年率,1995-10-01,2.4,,2.3
欧元区CPI年率,1995-11-01,2.4,,2.4
欧元区CPI年率,1995-12-01,2.4,,2.4
欧元区CPI年率,1996-01-01,2.4,,2.4
欧元区CPI年率,1996-02-01,2.4,,2.4
欧元区CPI年率,1996-03-01,2.4,,2.4
欧元区CPI年率,1996-04-01,2.4,,2.4
欧元区CPI年率,1996-05-01,2.4,,2.4
