代码,转债名称,现价,涨跌幅,正股代码,正股名称,正股价,正股涨跌,正股PB,转股价,转股价值,转股溢价率,债券评级,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,剩余规模,成交额,换手率,到期税前收益,双低
123258,胜蓝转 02,100.0,0.0,300843,胜蓝股份,61.42,-5.36,6.72,54.56,112.57,-11.17,AA-,38.19,70.93,4.6,2031-08-27,6.0,4.5,0.0,0.0,2.81,88.83
113698,凯众转债,100.0,0.0,603037,凯众股份,13.45,0.82,3.65,12.7,105.91,-5.58,AA-,8.89,16.51,8.6,2031-08-14,5.964,3.08,0.0,0.0,2.2,94.42
127111,金威转债,100.0,0.0,002626,金达威,20.64,0.73,2.89,19.59,105.36,-5.09,AA,13.71,25.47,10.3,2031-08-19,5.978,12.924,0.0,0.0,2.17,94.91
127052,西子转债,122.065,-4.64,002534,西子洁能,13.69,-4.4,2.52,10.99,124.57,-2.01,AA,7.69,14.29,10.0,2027-12-24,,10.025,6230.79,5.06,,120.06
128132,交建转债,151.064,-0.62,002941,新疆交建,15.32,-0.45,2.76,10.0,153.2,-1.39,AA,7.0,13.0,4.2,2026-09-15,,4.41,3691.05,5.56,,149.67
113565,宏辉转债,148.294,0.28,603336,宏辉果蔬,8.76,-0.11,4.26,5.85,149.74,-0.97,A+,4.1,7.61,2.7,2026-02-26,0.499,1.379,1962.71,9.58,-49.62,147.32
127077,华宏转债,148.754,0.85,002645,华宏科技,16.68,0.24,2.86,11.14,149.73,-0.65,A,7.8,14.48,2.7,2028-12-02,,2.401,5197.58,14.5,,148.1
113606,荣泰转债,157.938,-1.98,603579,荣泰健康,36.66,-2.27,3.51,23.07,158.91,-0.61,AA-,16.15,29.99,1.0,2026-10-30,,0.752,1277.12,10.68,,157.33
123200,海泰转债,161.265,0.41,301022,海泰科,42.28,0.71,3.72,26.06,162.24,-0.6,A,18.24,33.88,3.5,2029-06-27,,0.925,4510.81,29.83,,160.67
113641,华友转债,135.213,0.47,603799,华友钴业,46.74,0.37,2.03,34.43,135.75,-0.4,AA+,24.1,44.76,8.5,2028-02-24,2.493,66.994,3080.78,0.34,-7.65,134.81
113064,东材转债,166.646,0.67,601208,东材科技,19.29,-0.57,4.16,11.53,167.3,-0.39,AA,8.07,14.99,0.7,2028-11-16,,1.358,8186.27,35.91,,166.26
111007,永和转债,150.05,0.31,605020,永和股份,29.62,-0.6,2.96,19.68,150.51,-0.31,AA-,13.78,25.59,4.3,2028-10-11,3.123,4.983,2681.67,3.57,-7.18,149.74
123231,信测转债,138.742,-1.53,300938,信测标准,25.34,-2.01,3.99,18.22,139.08,-0.24,AA-,12.75,23.69,2.0,2029-11-09,,0.848,661.28,5.59,,138.5
118004,博瑞转债,287.175,2.39,688166,博瑞医药,100.0,2.0,16.57,34.74,287.85,-0.23,AA-,24.32,45.16,1.1,2028-01-04,2.353,4.492,10903.99,8.35,-31.68,286.95
123145,药石转债,130.206,1.33,300725,药石科技,43.85,1.39,2.54,33.61,130.47,-0.2,AA,23.53,43.69,5.5,2028-04-20,,4.532,1078.28,1.84,,130.01
123161,强联转债,162.392,-0.37,300850,新强联,35.47,-0.34,2.29,21.8,162.71,-0.2,AA,15.26,28.34,7.5,2028-10-11,3.123,7.117,1595.59,1.38,-10.34,162.19
113664,大元转债,279.241,-1.6,603757,大元泵业,57.54,-3.71,5.72,20.59,279.46,-0.08,AA-,14.41,26.77,3.6,2028-12-05,3.274,3.51,18263.21,18.35,-23.1,279.16
123130,设研转债,116.68,1.13,300732,设研院,9.4,0.64,1.16,8.05,116.77,-0.08,AA,5.64,10.47,7.5,2027-11-11,,2.39,1444.24,5.2,,116.6
123147,中辰转债,137.838,-0.48,300933,中辰股份,8.87,-0.56,2.46,6.43,137.95,-0.08,AA-,4.5,8.36,11.9,2028-05-31,2.759,4.948,2131.65,3.12,-5.42,137.76
118014,高测转债,152.539,0.83,688556,高测股份,11.25,0.45,2.38,7.37,152.65,-0.07,A+,5.16,9.58,1.0,2028-07-18,,0.885,1547.5,11.53,,152.47
128131,崇达转2,173.082,1.81,002815,崇达技术,17.75,3.26,2.56,10.25,173.17,-0.05,AA,7.18,13.33,3.3,2026-09-07,,4.25,32849.15,44.11,,173.03
123087,明电转债,151.533,-0.76,300739,明阳电路,17.81,-1.6,2.64,11.78,151.19,0.23,AA-,7.07,15.31,0.9,2026-12-15,,0.525,3095.06,38.26,,151.76
113657,再22转债,146.64,-0.41,603601,再升科技,6.2,-1.59,2.89,4.24,146.23,0.28,AA-,3.39,5.51,7.9,2028-09-29,3.09,5.027,5287.27,7.12,-7.91,146.92
127033,中装转2,84.94,-0.03,002822,*ST中装,3.21,-0.62,2.44,3.79,84.7,0.28,B-,2.65,4.93,37.6,2027-04-16,1.633,7.832,974.64,1.46,19.92,85.22
123056,雪榕转债,155.159,1.41,300511,雪榕生物,6.34,0.48,2.94,4.1,154.63,0.34,A,2.87,4.92,5.3,2026-06-24,0.822,1.747,1261.17,4.68,-31.7,155.5
128081,海亮转债,130.494,0.05,002203,海亮股份,11.95,-1.24,1.83,9.2,129.89,0.47,AA,6.44,11.96,3.9,2025-11-21,,9.767,415.43,0.33,,130.96
127081,中旗转债,402.113,0.03,001212,中旗新材,59.03,0.22,6.32,14.76,399.93,0.55,A+,10.33,19.19,2.4,2029-03-03,3.515,2.282,7093.01,7.74,-30.26,402.66
123232,金现转债,129.469,-1.92,300830,金现代,12.03,-3.3,4.54,9.35,128.66,0.63,A+,6.55,12.16,4.7,2029-11-27,,1.799,1906.64,8.08,,130.1
123169,正海转债,153.019,-0.48,300224,正海磁材,19.2,-2.04,4.3,12.63,152.02,0.66,AA-,8.84,16.42,3.3,2028-11-23,,5.652,3161.78,3.64,,153.68
127047,帝欧转债,131.109,0.24,002798,帝欧家居,6.64,-0.75,2.1,5.1,130.2,0.7,A-,3.57,6.63,29.3,2027-10-25,2.159,8.537,691.54,0.62,-4.63,131.81
113632,鹤21转债,134.391,1.5,603733,仙鹤股份,25.31,2.93,2.11,18.99,133.28,0.83,AA,13.29,24.69,11.5,2027-11-17,2.222,20.498,2609.61,0.95,-6.8,135.22
123241,欧通转债,623.583,-1.02,300870,欧陆通,272.0,-2.87,12.59,43.98,618.46,0.83,AA-,30.79,57.17,0.9,2030-07-05,4.855,2.704,20503.59,12.21,-29.58,624.41
123235,亿田转债,273.956,0.9,300911,亿田智能,57.82,2.16,8.33,21.31,271.33,0.97,AA-,14.92,27.7,4.6,2029-12-21,4.318,4.503,6815.21,5.53,-17.67,274.93
113628,晨丰转债,148.417,-0.28,603685,晨丰科技,18.74,-2.09,2.78,12.77,146.75,1.14,A,8.94,16.6,13.0,2027-08-23,1.986,4.112,1744.84,2.85,-11.22,149.56
123244,松原转债,151.91,-1.0,300893,松原安全,30.56,-2.05,6.8,20.35,150.17,1.16,A+,14.25,26.46,8.3,2030-08-01,4.929,4.044,1392.3,2.26,-4.79,153.07
110059,浦发转债,113.368,0.15,600000,浦发银行,13.95,0.65,0.53,12.51,111.51,1.67,AAA,,16.26,8.3,2025-10-28,0.167,351.6,1261.93,0.03,-18.38,115.04
123162,东杰转债,271.0,0.83,300486,东杰智能,21.45,-0.88,8.59,8.05,266.46,1.7,BBB+,5.64,10.47,1.2,2028-10-14,,1.234,9971.64,29.66,,272.7
113669,景23转债,270.813,-1.57,603228,景旺电子,63.62,-2.47,5.26,23.91,266.08,1.78,AA,16.74,31.08,1.6,2029-04-04,3.603,9.551,6588.88,2.55,-22.0,272.59
111016,神通转债,146.633,-0.05,605228,神通科技,16.56,0.24,4.47,11.52,143.75,2.01,AA-,8.06,14.98,7.7,2029-07-25,3.91,5.492,1306.14,1.62,-5.22,148.64
127107,领益转债,176.245,-1.86,002600,领益智造,15.75,-3.14,5.58,9.13,172.51,2.17,AA+,6.39,11.87,2.0,2030-11-18,5.227,21.317,7044.04,1.86,-8.35,178.42
110062,烽火转债,130.787,-0.62,600498,烽火通信,27.57,-1.54,2.53,21.71,126.99,2.99,AAA,15.2,28.22,9.6,2025-12-02,0.263,30.874,2226.75,0.55,-73.6,133.78
113062,常银转债,129.747,0.04,601128,常熟银行,7.59,0.66,0.84,6.04,125.66,3.25,AAA,,7.85,23.8,2028-09-15,3.052,59.994,903.79,0.12,-5.35,133.0
128076,金轮转债,139.803,0.12,002722,物产金轮,18.05,-0.22,1.42,13.34,135.31,3.32,AA-,9.34,17.34,5.7,2025-10-14,0.129,1.836,638.23,2.49,-169.19,143.12
113030,东风转债,153.677,-1.21,601515,东峰集团,4.61,-1.91,1.69,3.1,148.71,3.34,AA,2.17,4.03,2.2,2025-12-24,0.323,1.907,1069.72,3.63,-85.34,157.02
123166,蒙泰转债,141.119,0.08,300876,蒙泰高新,31.76,0.86,3.95,23.47,135.32,4.29,A,16.43,30.51,13.8,2028-11-02,3.184,2.999,643.66,1.52,-4.97,145.41
