代码,转债名称,现价,涨跌幅,正股代码,正股名称,正股价,正股涨跌,正股PB,转股价,转股价值,转股溢价率,债券评级,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,剩余规模,成交额,换手率,到期税前收益,双低
123207,冠中转债,181.266,-9.15,300948,冠中生态,18.21,-17.08,3.28,10.44,174.43,3.92,A-,7.308,13.572,9.1,2029-07-21,3.773,2.412,64778.57,144.45,-10.52,185.19
123118,惠城转债,1594.326,19.16,300779,惠城环保,170.18,19.51,25.12,11.11,1531.77,4.08,A+,7.777,14.443,0.5,2027-07-07,1.732,1.238,263785.29,137.71,-78.09,1598.41
110062,烽火转债,127.57,-1.05,600498,烽火通信,26.51,-2.72,2.44,21.71,122.11,4.47,AAA,15.197,28.223,8.6,2025-12-02,0.137,26.925,15536.86,4.54,-125.99,132.04
127055,精装转债,171.085,-3.01,002989,中天精装,30.17,-3.05,3.89,18.5,163.08,4.91,AA-,12.95,24.05,3.7,2028-02-22,2.362,2.085,10526.1,29.46,-14.63,176.0
123049,维尔转债,126.114,-0.38,300190,维尔利,4.26,0.47,1.25,3.55,120.0,5.1,A-,2.485,4.615,23.7,2026-04-13,0.499,8.132,2782.61,2.73,-12.9,131.21
123213,天源转债,193.209,-1.75,301127,武汉天源,13.11,-2.31,2.59,7.14,183.61,5.23,AA-,4.998,9.282,3.7,2029-07-28,3.792,3.261,8414.87,13.42,-12.69,198.44
128144,利民转债,262.183,5.47,002734,利民股份,20.15,4.4,2.58,8.1,248.77,5.39,AA,5.67,10.53,3.2,2027-03-01,1.381,2.58,140320.45,209.67,-46.41,267.57
113686,泰瑞转债,135.582,-2.18,603289,泰瑞机器,10.48,-3.41,2.12,8.15,128.59,5.44,AA-,5.705,10.595,10.9,2030-07-02,4.721,3.364,6091.51,13.35,-2.6,141.02
123254,亿纬转债,170.395,-1.11,300014,亿纬锂能,81.85,1.83,4.35,50.65,161.6,5.44,AA+,35.455,65.845,3.3,2031-03-24,5.447,49.992,79258.8,9.26,-6.83,175.84
127053,豪美转债,265.816,-1.66,002988,豪美新材,43.25,-3.97,3.98,17.23,251.02,5.89,AA-,12.061,22.399,2.4,2028-01-24,2.282,2.582,19047.3,27.86,-29.28,271.71
127047,帝欧转债,133.671,-1.2,002798,帝欧水华,6.43,-2.43,2.04,5.1,126.08,6.02,A-,3.57,6.63,29.7,2027-10-25,2.033,8.437,2595.8,2.31,-5.83,139.69
