债券代码,债券名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
118058,微导转债,3.3,162.498,-,-,-,5.198,0.0,-,-,-,-,157.3,1901226600,1901226600,1.118058,沪A,2025-08-28 09:22:11,2025-08-28
118035,国力转债,2.54,141.286,-,-,-,3.501,0.0,-,-,-,-,137.785,678147369,678147369,1.118035,沪A,2025-08-28 09:22:03,2025-08-28
118044,赛特转债,2.15,144.5,-,-,-,3.043,0.0,-,-,-,-,141.457,638656765,638656765,1.118044,沪A,2025-08-28 09:22:11,2025-08-28
118007,山石转债,1.41,147.181,-,-,-,2.042,0.0,-,-,-,-,145.139,393272047,393272047,1.118007,沪A,2025-08-28 09:22:08,2025-08-28
123065,宝莱转债,1.09,129.956,-,-,-,1.407,0.0,-,-,-,-,128.549,284296554,284296554,0.123065,深A,2025-08-28 09:21:12,2025-08-28
118027,宏图转债,0.97,118.45,-,-,-,1.136,0.0,-,-,-,-,117.314,1194875036,1194875036,1.118027,沪A,2025-08-28 09:22:10,2025-08-28
118056,路维转债,0.9,172.3,-,-,-,1.539,0.0,-,-,-,-,170.761,1059645000,1059645000,1.118056,沪A,2025-08-28 09:22:07,2025-08-28
111021,奥锐转债,0.89,129.6,-,-,-,1.148,0.0,-,-,-,-,128.452,1052497152,1052497152,1.111021,沪A,2025-08-28 09:22:01,2025-08-28
123108,乐普转2,0.82,125.8,-,-,-,1.019,0.0,-,-,-,-,124.781,2060174770,2060174770,0.123108,深A,2025-08-28 09:21:12,2025-08-28
123087,明电转债,0.75,142.0,-,-,-,1.063,0.0,-,-,-,-,140.937,80311792,80311792,0.123087,深A,2025-08-28 09:22:06,2025-08-28
118031,天23转债,0.73,122.14,-,-,-,0.884,0.0,-,-,-,-,121.256,10827088086,10827088086,1.118031,沪A,2025-08-28 09:22:08,2025-08-28
118024,冠宇转债,0.71,126.78,-,-,-,0.891,0.0,-,-,-,-,125.889,3916184756,3916184756,1.118024,沪A,2025-08-28 09:22:05,2025-08-28
127071,天箭转债,0.67,139.5,-,-,-,0.925,0.0,-,-,-,-,138.575,690375317,690375317,0.127071,深A,2025-08-28 09:22:06,2025-08-28
123196,正元转02,0.67,135.5,-,-,-,0.9,0.0,-,-,-,-,134.6,474462735,474462735,0.123196,深A,2025-08-28 09:22:06,2025-08-28
123221,力诺转债,0.66,151.193,-,-,-,0.993,0.0,-,-,-,-,150.2,613289760,613289760,0.123221,深A,2025-08-28 09:21:03,2025-08-28
113643,风语转债,0.64,129.0,-,-,-,0.816,0.0,-,-,-,-,128.184,644714910,644714910,1.113643,沪A,2025-08-28 09:22:03,2025-08-28
127097,三羊转债,0.61,154.0,-,-,-,0.928,0.0,-,-,-,-,153.072,322594118,322594118,0.127097,深A,2025-08-28 09:21:39,2025-08-28
123161,强联转债,0.6,166.0,-,-,-,0.995,0.0,-,-,-,-,165.005,1199392662,1199392662,0.123161,深A,2025-08-28 09:21:03,2025-08-28
113593,沪工转债,0.59,130.029,-,-,-,0.758,0.0,-,-,-,-,129.271,519614088,519614088,1.113593,沪A,2025-08-28 09:22:06,2025-08-28
123188,水羊转债,0.55,179.989,-,-,-,0.989,0.0,-,-,-,-,179.0,1210095925,1210095925,0.123188,深A,2025-08-28 09:21:57,2025-08-28
128128,齐翔转2,0.51,123.855,-,-,-,0.633,0.0,-,-,-,-,123.222,841453035,841453035,0.128128,深A,2025-08-28 09:20:54,2025-08-28
