代码,转债名称,现价,涨跌幅,正股代码,正股名称,正股价,正股涨跌,正股PB,转股价,转股价值,转股溢价率,债券评级,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,剩余规模,成交额,换手率,到期税前收益,双低
113628,晨丰转债,170.0,-0.81,603685,晨丰科技,23.23,9.99,3.4,12.77,181.91,-6.55,A,8.939,16.601,2.8,2027-08-23,,1.257,0,0,,163.45
118049,汇成转债,232.0,0.74,688403,汇成股份,18.7,7.66,4.61,7.61,245.73,-5.59,AA-,5.327,9.893,5.7,2030-08-07,4.789,9.301,0,0,-13.62,226.41
123217,富仕转债,137.003,1.86,300852,四会富仕,41.7,4.64,3.65,29.57,141.02,-2.85,AA-,20.699,38.441,2.4,2029-08-08,,1.526,0,0,,134.15
113577,春秋转债,131.001,-2.34,603890,春秋电子,14.1,0.0,2.14,10.5,134.29,-2.45,AA-,7.35,13.65,1.6,2026-04-14,,1.034,0,0,,128.55
123247,万凯转债,176.0,-1.73,301216,万凯新材,20.2,-0.05,2.18,11.3,178.76,-1.54,AA,7.91,14.69,18.3,2030-08-16,4.814,20.139,0,0,-8.64,174.46
113651,松霖转债,185.0,-6.24,603992,松霖科技,28.68,-0.31,3.86,15.3,187.45,-1.31,AA,10.71,19.89,2.0,2028-07-20,2.74,2.378,0,0,-16.11,183.69
128095,Z捷转债,127.5,-0.05,002812,恩捷股份,41.27,0.88,1.6,32.01,128.93,-1.11,AA,22.407,41.613,0.3,2026-02-11,,1.116,0,0,,126.39
113030,东风转债,155.39,-2.4,601515,东峰集团,4.87,0.0,1.76,3.1,157.1,-1.09,AA,2.17,4.03,1.8,2025-12-24,0.167,1.602,0,0,-178.77,154.3
113685,升24转债,118.5,0.21,603305,旭升集团,14.95,0.67,2.28,12.51,119.5,-0.84,AA-,8.757,16.263,8.6,2030-06-14,,13.51,0,0,,117.66
127086,恒邦转债,116.71,-0.05,002237,恒邦股份,13.17,0.77,1.45,11.19,117.69,-0.84,AA+,7.833,14.547,12.1,2029-06-12,,16.659,0,0,,115.87
127078,优彩转债,129.45,0.0,002998,优彩资源,8.41,0.24,1.72,6.48,129.78,-0.26,A+,4.536,8.424,23.1,2028-12-14,3.143,5.001,0,0,-2.32,129.19
110099,福能转债,100.0,0.0,600483,福能股份,9.84,-0.2,1.06,9.84,100.0,0.0,AA+,6.888,12.792,13.9,2031-10-13,5.973,38.02,0,0,1.7,100.0
127020,中金转债,131.0,0.57,000060,中金岭南,5.61,0.18,1.39,4.29,130.77,0.18,AA+,3.003,5.577,11.1,2026-07-20,0.737,24.235,0,0,-22.0,131.18
128105,长集转债,117.5,0.59,002616,长青集团,6.03,0.17,1.71,5.15,117.09,0.35,AA-,3.605,6.695,3.5,2026-04-09,,1.202,0,0,,117.85
123201,纽泰转债,144.767,0.95,301229,纽泰格,21.61,0.46,3.66,15.04,143.68,0.75,A,10.528,19.552,4.0,2029-06-27,,1.051,0,0,,145.52
118051,皓元转债,214.1,1.37,688131,皓元医药,85.99,1.08,5.97,40.47,212.48,0.76,AA-,28.329,52.611,4.5,2030-11-28,5.099,8.218,0,0,-11.31,214.86
110062,烽火转债,119.4,0.21,600498,烽火通信,25.58,0.08,2.34,21.71,117.83,1.34,AAA,15.197,28.223,8.9,2025-12-02,0.107,26.912,0,0,-117.03,120.74
113671,武进转债,143.484,-1.38,603878,武进不锈,11.22,0.18,2.4,7.93,141.49,1.41,AA,5.551,10.309,4.9,2029-07-10,3.712,3.097,0,0,-6.06,144.89
113689,洛凯转债,131.5,-0.7,603829,洛凯股份,19.81,-2.84,2.98,15.33,129.22,1.76,AA-,10.731,19.929,7.9,2030-10-17,4.984,2.66,0,0,-1.9,133.26
127079,华亚转债,166.143,0.61,003043,华亚智能,50.12,-0.12,3.75,30.71,163.2,1.8,A+,21.497,39.923,7.4,2028-12-16,3.148,3.106,0,0,-10.01,167.94
123118,惠城转债,1426.0,-1.38,300779,惠城环保,155.58,0.8,22.81,11.11,1400.36,1.83,A+,7.777,14.443,0.5,2027-07-07,1.701,1.238,0,0,-77.38,1427.83
113058,友发转债,149.95,2.62,601686,友发集团,7.0,1.01,1.45,4.77,146.75,2.18,AA,3.339,6.201,18.1,2028-03-30,2.433,18.638,0,0,-10.44,152.13
123049,维尔转债,126.33,0.05,300190,维尔利,4.38,0.69,1.22,3.55,123.38,2.39,A-,2.485,4.615,22.9,2026-04-13,0.469,8.085,0,0,-14.33,128.72
123207,冠中转债,182.8,-0.38,300948,冠中生态,18.6,0.81,3.56,10.44,178.16,2.6,A-,7.308,13.572,7.5,2029-07-21,3.743,2.093,0,0,-10.83,185.4
113045,环旭转债,139.666,-0.23,601231,环旭电子,25.3,6.21,2.84,18.59,136.1,2.62,AA+,13.013,24.167,6.2,2027-03-04,1.359,34.497,0,0,-16.52,142.29
123213,天源转债,199.0,-0.01,301127,武汉天源,13.8,0.73,2.69,7.14,193.28,2.96,AA-,4.998,9.282,3.6,2029-07-28,3.762,3.261,0,0,-13.5,201.96
113621,彤程转债,151.998,13.84,603650,彤程新材,45.78,10.0,7.53,31.11,147.16,3.29,AA,21.777,40.443,1.7,2027-01-26,1.258,4.715,0,0,-22.06,155.29
127081,中旗转债,348.0,-0.14,001212,中旗新材,49.7,0.06,5.4,14.76,336.72,3.35,A+,10.332,19.188,2.4,2029-03-03,3.359,1.95,0,0,-28.42,351.35
110096,豫光转债,217.01,-1.72,600531,豫光金铅,12.48,-2.42,2.42,5.95,209.75,3.46,AA,4.165,7.735,5.2,2030-08-12,4.803,7.064,0,0,-12.46,220.47
123243,严牌转债,157.58,0.26,301081,严牌股份,11.04,0.55,2.25,7.27,151.86,3.77,A+,5.089,9.451,12.8,2030-07-10,4.712,3.081,0,0,-5.94,161.35
123251,华医转债,170.3,0.47,301235,华康洁净,36.8,3.28,2.2,22.43,164.07,3.8,A+,15.701,29.159,26.2,2030-12-23,5.167,7.012,0,0,-6.67,174.1
127053,豪美转债,247.2,0.41,002988,豪美新材,41.01,1.84,3.67,17.23,238.02,3.86,AA-,12.061,22.399,2.5,2028-01-24,2.252,2.581,0,0,-27.36,251.06
123146,中环转2,140.5,5.5,300692,中环环保,8.42,1.57,1.53,6.23,135.15,3.96,AA-,4.361,8.099,18.4,2028-05-06,2.534,6.362,0,0,-6.45,144.46
128144,利民转债,236.2,0.17,002734,利民股份,18.28,0.55,2.32,8.1,225.68,4.66,AA,5.67,10.53,3.5,2027-03-01,1.351,2.58,0,0,-43.08,240.86
127047,帝欧转债,131.999,0.0,002798,帝欧水华,6.43,2.06,2.0,5.1,126.08,4.7,A-,3.57,6.63,29.7,2027-10-25,2.003,8.437,0,0,-5.92,136.7
123241,欧通转债,526.79,2.04,300870,欧陆通,219.0,9.61,8.85,43.55,502.87,4.76,AA-,30.485,56.615,1.1,2030-07-05,4.699,2.606,0,0,-27.87,531.55
111016,神通转债,164.607,0.11,605228,神通科技,18.04,0.22,4.65,11.51,156.73,5.02,AA-,8.057,14.963,7.1,2029-07-25,3.753,5.488,0,0,-8.36,169.63
113631,皖天转债,137.55,-0.38,603689,皖天然气,8.98,0.56,1.31,6.86,130.9,5.08,AA+,4.802,8.918,19.3,2027-11-08,2.041,8.399,0,0,-9.27,142.63
