代码,转债名称,现价,涨跌幅,正股代码,正股名称,正股价,正股涨跌,正股PB,转股价,转股价值,转股溢价率,债券评级,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,剩余规模,成交额,换手率,到期税前收益,双低
123261,普联转债,100.0,0.0,300996,普联软件,18.97,-5.01,4.26,18.26,103.89,-3.74,A+,12.782,23.738,5.4,2031-12-05,6.0,2.43,0.0,0.0,2.97,96.26
113672,福蓉转债,166.498,-0.47,603327,福蓉科技,13.68,2.86,6.72,8.17,167.44,-0.56,AA,5.719,10.621,2.8,2029-07-18,3.622,3.875,634225.95,990.65,-10.48,165.94
123177,测绘转债,129.37,-0.25,300826,测绘股份,17.07,-0.12,2.07,13.15,129.81,-0.34,A+,9.205,17.095,3.2,2029-03-02,,0.894,3514.78,30.44,,129.03
113593,沪工转债,134.905,1.27,603131,上海沪工,28.54,2.77,7.44,21.09,135.33,-0.31,A,14.763,27.417,4.4,2026-07-20,0.625,3.971,117514.69,218.64,-23.62,134.6
123185,能辉转债,130.654,-1.56,301046,能辉科技,29.03,-2.29,5.35,22.15,131.06,-0.31,A+,15.505,28.795,4.9,2029-03-31,,1.709,75266.86,329.6,,130.34
110096,豫光转债,187.511,-2.53,600531,豫光金铅,11.19,-2.27,2.14,5.95,188.07,-0.3,AA,4.165,7.735,3.5,2030-08-12,4.69,4.445,38493.77,45.44,-9.93,187.21
123234,中能转债,149.207,-2.67,300062,中能电气,8.23,-2.95,3.95,5.5,149.64,-0.29,A+,3.85,7.15,3.1,2029-12-11,,1.123,31862.76,186.96,,148.92
123240,楚天转债,112.988,-1.13,300358,楚天科技,9.06,-1.09,1.34,8.0,113.25,-0.23,AA,5.6,10.4,4.9,2030-01-30,,2.948,5415.0,16.19,,112.76
113683,伟24转债,125.091,-1.1,603568,伟明环保,21.99,-0.45,2.56,17.55,125.3,-0.17,AA,12.285,22.815,0.4,2030-03-28,,1.621,6178.55,30.4,,124.92
113663,新化转债,132.206,-0.95,603867,新化股份,26.21,-1.13,2.01,19.81,132.31,-0.08,AA-,13.867,25.753,7.1,2028-11-28,2.986,3.686,15332.39,31.32,-3.65,132.13
123212,立中转债,114.85,-0.04,300428,立中集团,21.43,0.14,1.8,18.65,114.91,-0.05,AA-,13.055,24.245,1.6,2029-07-27,,2.023,6938.58,29.73,,114.8
127081,中旗转债,296.15,-4.01,001212,中旗新材,43.72,-3.95,4.73,14.76,296.21,-0.02,A+,10.332,19.188,1.6,2029-03-03,,1.135,40878.78,120.66,,296.13
110082,宏发转债,122.939,-0.58,600885,宏发股份,27.93,-0.78,3.96,22.72,122.93,0.01,AA,15.904,29.536,0.7,2027-10-28,,3.066,20010.15,53.14,,122.95
127019,国城转债,176.268,-0.3,000688,国城矿业,22.17,-0.89,7.49,12.58,176.23,0.02,A+,8.806,16.354,0.7,2026-07-15,,1.696,121600.54,396.66,,176.29
113069,博23转债,143.943,-0.44,601137,博威合金,21.11,-0.89,1.95,14.68,143.8,0.1,AA,10.276,19.084,7.9,2028-12-22,3.052,13.762,25114.97,12.69,-8.05,144.04
123207,冠中转债,195.146,0.32,300948,冠中生态,20.35,1.5,4.04,10.44,194.92,0.11,A-,7.308,13.572,6.6,2029-07-21,3.63,2.025,65366.66,167.21,-12.74,195.26
123203,明电转02,137.779,-2.35,300739,明阳电路,16.17,-2.24,2.27,11.76,137.5,0.2,AA-,8.232,15.288,1.1,2029-07-03,,0.6,7066.7,85.02,,137.98
113030,东风转债,142.601,-2.03,601515,衢州东峰,4.41,-2.43,1.62,3.1,142.26,0.24,AA,2.17,4.03,1.2,2025-12-24,0.055,1.001,3943.82,27.43,-411.88,142.84
123249,英搏转债,158.7,-0.06,300681,英搏尔,27.41,-0.62,3.1,17.34,158.07,0.4,AA,12.138,22.542,13.2,2030-10-24,4.89,6.792,19757.91,18.29,-6.51,159.1
123118,惠城转债,1113.38,-1.64,300779,惠城环保,122.21,-0.03,18.03,11.11,1100.0,1.22,A+,7.777,14.443,0.5,2027-07-07,1.589,0.906,54140.15,53.32,-76.02,1114.6
123213,天源转债,214.1,-0.19,301127,武汉天源,15.09,0.07,3.08,7.14,211.35,1.3,AA-,4.998,9.282,3.2,2029-07-28,3.649,3.261,20793.23,29.77,-15.6,215.4
123187,超达转债,152.4,-0.81,301186,超达装备,45.94,-1.2,2.3,30.98,148.29,2.77,A,21.686,40.274,7.9,2029-04-04,3.334,2.731,3943.93,9.44,-7.04,155.17
123128,首华转债,131.58,-2.46,300483,首华燃气,15.55,-7.44,2.06,12.15,127.98,2.81,AA-,8.505,15.795,25.5,2027-11-01,1.91,11.404,36429.93,24.28,-8.24,134.39
113671,武进转债,140.858,0.49,603878,武进不锈,10.85,0.56,2.31,7.93,136.82,2.95,AA,5.551,10.309,5.1,2029-07-10,3.6,3.094,14492.84,33.19,-5.74,143.81
127028,英特转债,140.42,-0.9,000411,英特集团,12.68,-1.93,1.39,9.3,136.34,2.99,AA+,6.51,12.09,9.9,2027-01-05,1.088,4.062,11620.78,20.29,-20.53,143.41
123247,万凯转债,166.4,-0.95,301216,万凯新材,18.1,-1.74,1.75,11.3,160.18,3.89,AA,7.91,14.69,19.8,2030-08-16,4.701,19.644,11837.9,3.59,-7.72,170.29
