债券代码,债券名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
128144,利民转债,-,-,-,-,-,-,0.0,-,-,-,-,260.7,672973848,672973848,0.128144,深A,2025-09-01 08:55:30,2025-09-01
128142,新乳转债,-,-,-,-,-,-,0.0,-,-,-,-,132.639,952196016,952196016,0.128142,深A,2025-09-01 08:54:54,2025-09-01
128141,旺能转债,-,-,-,-,-,-,0.0,-,-,-,-,133.377,1543946677,1543946677,0.128141,深A,2025-09-01 08:55:27,2025-09-01
128138,侨银转债,-,-,-,-,-,-,0.0,-,-,-,-,131.265,551130673,551130673,0.128138,深A,2025-09-01 08:54:51,2025-09-01
128137,洁美转债,-,-,-,-,-,-,0.0,-,-,-,-,136.763,818599723,818599723,0.128137,深A,2025-09-01 08:54:45,2025-09-01
128136,立讯转债,-,-,-,-,-,-,0.0,-,-,-,-,124.139,3722849409,3722849409,0.128136,深A,2025-09-01 08:54:48,2025-09-01
128135,洽洽转债,-,-,-,-,-,-,0.0,-,-,-,-,117.118,1569197559,1569197559,0.128135,深A,2025-09-01 08:55:06,2025-09-01
128134,鸿路转债,-,-,-,-,-,-,0.0,-,-,-,-,118.3,1860554378,1860554378,0.128134,深A,2025-09-01 08:55:03,2025-09-01
128133,奇正转债,-,-,-,-,-,-,0.0,-,-,-,-,145.298,15003036,15003036,0.128133,深A,2025-09-01 08:55:24,2025-09-01
128132,交建转债,-,-,-,-,-,-,0.0,-,-,-,-,154.722,520681460,520681460,0.128132,深A,2025-09-01 08:54:42,2025-09-01
128131,崇达转2,-,-,-,-,-,-,0.0,-,-,-,-,170.124,643345001,643345001,0.128131,深A,2025-09-01 08:55:21,2025-09-01
128130,景兴转债,-,-,-,-,-,-,0.0,-,-,-,-,133.086,884436721,884436721,0.128130,深A,2025-09-01 08:55:30,2025-09-01
128129,青农转债,-,-,-,-,-,-,0.0,-,-,-,-,113.08,5653643685,5653643685,0.128129,深A,2025-09-01 08:54:45,2025-09-01
128128,齐翔转2,-,-,-,-,-,-,0.0,-,-,-,-,121.4,824774118,824774118,0.128128,深A,2025-09-01 08:54:42,2025-09-01
128127,文科转债,-,-,-,-,-,-,0.0,-,-,-,-,118.6,953320676,953320676,0.128127,深A,2025-09-01 08:55:39,2025-09-01
128125,华阳转债,-,-,-,-,-,-,0.0,-,-,-,-,126.501,568845016,568845016,0.128125,深A,2025-09-01 08:55:39,2025-09-01
128124,科华转债,-,-,-,-,-,-,0.0,-,-,-,-,110.5,248674836,248674836,0.128124,深A,2025-09-01 08:55:27,2025-09-01
128121,宏川转债,-,-,-,-,-,-,0.0,-,-,-,-,114.228,744806768,744806768,0.128121,深A,2025-09-01 08:55:36,2025-09-01
128119,龙大转债,-,-,-,-,-,-,0.0,-,-,-,-,115.474,1092439006,1092439006,0.128119,深A,2025-09-01 08:55:24,2025-09-01
128116,瑞达转债,-,-,-,-,-,-,0.0,-,-,-,-,134.612,873526210,873526210,0.128116,深A,2025-09-01 08:55:00,2025-09-01
