代码,转债名称,现价,涨跌幅,正股代码,正股名称,正股价,正股涨跌,正股PB,转股价,转股价值,转股溢价率,债券评级,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,剩余规模,成交额,换手率,到期税前收益,双低
123240,楚天转债,138.0,-0.01,300358,楚天科技,11.26,1.81,1.47,8.0,140.75,-1.95,AA,5.6,10.4,13.4,2030-01-30,4.233,8.91,35.19,0.03,-4.35,136.05
118031,天23转债,140.111,0.82,688599,天合光能,22.8,2.66,2.21,16.0,142.5,-1.68,AA,11.2,20.8,11.9,2029-02-13,3.271,62.663,663.29,0.08,-4.9,138.43
127070,大中转债,218.0,3.07,001203,大中矿业,23.81,2.01,5.3,10.76,221.28,-1.48,AA,7.532,13.988,4.1,2028-08-17,2.778,12.625,751.01,0.27,-20.8,216.52
113047,旗滨转债,125.22,-0.71,601636,旗滨集团,6.86,0.0,1.34,5.43,126.34,-0.88,AA+,3.801,7.059,5.3,2027-04-09,1.419,10.034,19.41,0.02,-7.82,124.34
113631,XD皖天转,129.56,0.12,603689,皖天然气,8.89,-0.11,1.29,6.81,130.54,-0.75,AA+,4.767,8.853,17.3,2027-11-08,2.003,7.635,792.13,0.8,-7.18,128.81
127020,中金转债,125.64,-0.03,000060,中金岭南,5.43,0.56,1.35,4.29,126.57,-0.74,AA+,3.003,5.577,3.9,2026-07-20,,8.989,10.96,0.01,,124.9
113685,Z升24转,115.6,-0.55,603305,旭升集团,14.55,-0.41,2.13,12.51,116.31,-0.61,AA-,8.757,16.263,2.1,2030-06-14,,3.436,33.29,0.08,,114.99
123260,卓镁转债,100.0,0.0,301398,星源卓镁,52.61,-0.75,5.29,52.3,100.59,-0.59,A+,36.61,67.99,25.6,2031-11-06,6.0,4.5,0.0,0.0,2.98,99.41
110082,宏发转债,145.1,0.54,600885,宏发股份,33.08,0.64,4.59,22.72,145.6,-0.34,AA,15.904,29.536,3.9,2027-10-28,1.973,18.801,48.32,0.02,-11.73,144.76
113030,东风转债,157.0,-0.52,601515,东峰集团,4.88,-0.2,1.8,3.1,157.42,-0.27,AA,2.17,4.03,1.4,2025-12-24,0.129,1.325,5.81,0.03,-243.31,156.73
113621,Z彤程转,125.0,-0.33,603650,彤程新材,38.99,-0.84,6.75,31.11,125.33,-0.26,AA,21.777,40.443,0.5,2027-01-26,,1.134,34.63,0.24,,124.74
110062,烽火转债,111.8,-0.13,600498,烽火通信,24.33,0.0,1.99,21.71,112.07,-0.24,AAA,15.197,28.223,8.4,2025-12-02,0.069,24.426,137.85,0.05,-90.22,111.56
110096,豫光转债,200.9,1.44,600531,豫光金铅,11.98,1.7,2.21,5.95,201.35,-0.22,AA,4.165,7.735,5.4,2030-08-12,4.764,7.047,150.47,0.11,-11.11,200.68
127086,恒邦转债,122.0,1.25,002237,恒邦股份,13.65,1.11,1.66,11.19,121.98,0.01,AA+,7.833,14.547,5.7,2029-06-12,,8.732,27.69,0.03,,122.01
127078,优彩转债,129.951,0.11,002998,优彩资源,8.41,0.0,1.79,6.48,129.78,0.13,A+,4.536,8.424,21.6,2028-12-14,3.104,4.751,18.45,0.03,-2.47,130.08
127073,天赐转债,154.68,3.69,002709,天赐材料,44.0,0.66,6.28,28.5,154.39,0.19,AA,19.95,37.05,3.4,2027-09-23,1.877,21.171,1182.84,0.36,-16.6,154.87
123234,中能转债,200.718,0.0,300062,中能电气,11.01,-3.25,5.09,5.5,200.18,0.27,A+,3.85,7.15,8.2,2029-12-11,4.096,3.568,1480.09,2.07,-12.1,200.99
113628,晨丰转债,161.8,1.06,603685,晨丰科技,20.58,0.64,3.02,12.77,161.16,0.4,A,8.939,16.601,2.0,2027-08-23,,0.818,91.58,0.69,,162.2
123118,惠城转债,1355.944,-0.59,300779,惠城环保,150.0,-1.46,22.34,11.11,1350.14,0.43,A+,7.777,14.443,0.5,2027-07-07,1.663,1.159,149.15,0.09,-77.47,1356.37
118059,颀中转债,100.0,0.0,688352,颀中科技,13.68,0.22,2.7,13.75,99.49,0.51,AA+,9.625,17.875,17.0,2031-11-03,5.992,8.5,0.0,0.0,2.02,100.51
127081,中旗转债,321.22,0.0,001212,中旗新材,46.85,0.43,4.91,14.76,317.41,1.2,A+,10.332,19.188,2.6,2029-03-03,3.321,1.949,37.26,0.06,-26.93,322.42
123049,维尔转债,126.217,-0.13,300190,维尔利,4.42,-0.45,1.25,3.55,124.51,1.37,A-,2.485,4.615,22.7,2026-04-13,0.43,8.071,12.12,0.01,-15.43,127.59
127019,国城转债,158.364,4.6,000688,国城矿业,19.6,3.05,6.18,12.58,155.8,1.64,A+,8.806,16.354,3.2,2026-07-15,0.685,7.09,527.83,0.47,-45.31,160.0
113689,洛凯转债,138.001,-0.39,603829,洛凯股份,20.8,-2.35,3.31,15.33,135.68,1.71,AA-,10.731,19.929,3.0,2030-10-17,,1.125,30.36,0.2,,139.71
123247,万凯转债,174.922,0.42,301216,万凯新材,19.4,0.21,1.85,11.3,171.68,1.89,AA,7.91,14.69,18.5,2030-08-16,4.775,19.644,27.11,0.01,-8.59,176.81
127040,国泰转债,141.0,1.29,002091,江苏国泰,10.79,5.58,1.03,7.82,137.98,2.19,AA+,5.474,10.166,23.1,2027-07-07,1.663,39.869,670.88,0.12,-14.17,143.19
123213,天源转债,199.96,-0.02,301127,武汉天源,13.95,0.5,2.83,7.14,195.38,2.35,AA-,4.998,9.282,3.5,2029-07-28,3.723,3.261,15.6,0.02,-13.75,202.31
123187,超达转债,160.554,0.19,301186,超达装备,48.51,0.27,2.43,30.98,156.59,2.53,A,21.686,40.274,7.5,2029-04-04,3.408,2.731,12.84,0.03,-8.35,163.08
123212,立中转债,141.579,-0.3,300428,立中集团,25.68,0.59,2.07,18.66,137.62,2.88,AA-,13.062,24.258,6.4,2029-07-27,3.721,8.996,27.18,0.02,-4.99,144.46
123243,严牌转债,158.933,0.0,301081,严牌股份,11.21,-0.09,2.29,7.27,154.2,3.07,A+,5.089,9.451,12.6,2030-07-10,4.674,3.081,4.93,0.01,-6.16,162.0
123207,冠中转债,189.999,1.06,300948,冠中生态,19.1,0.79,3.76,10.44,182.95,3.85,A-,7.308,13.572,7.1,2029-07-21,3.704,2.025,218.12,0.57,-11.88,193.85
128144,利民转债,236.0,0.0,002734,利民股份,18.36,-0.11,2.25,8.1,226.67,4.12,AA,5.67,10.53,3.5,2027-03-01,1.312,2.58,17.94,0.03,-43.98,240.12
127089,晶澳转债,132.5,0.2,002459,晶澳科技,14.83,1.09,2.1,11.66,127.19,4.18,AA+,8.162,15.158,18.3,2029-07-18,3.696,89.592,28.09,0.0,-4.55,136.68
113671,武进转债,132.998,0.24,603878,武进不锈,10.1,0.1,2.15,7.93,127.36,4.42,AA,5.551,10.309,5.5,2029-07-10,3.674,3.096,9.97,0.02,-4.12,137.42
123246,远信转债,158.528,-0.2,301053,远信工业,34.76,0.0,4.03,22.95,151.46,4.67,A,16.065,29.835,8.5,2030-08-16,4.775,2.297,15.69,0.04,-5.13,163.2
127092,运机转债,247.047,0.2,001288,运机集团,28.52,0.04,2.91,12.09,235.9,4.73,AA-,8.463,15.717,12.1,2029-09-21,3.874,5.25,3.46,0.0,-17.18,251.78
123209,聚隆转债,208.02,-0.37,300644,南京聚隆,35.23,0.14,3.73,17.77,198.26,4.93,A+,12.439,23.101,5.4,2029-07-26,3.718,1.674,21.43,0.06,-14.41,212.95
118051,皓元转债,199.299,-0.04,688131,皓元医药,76.84,-0.07,5.24,40.47,189.87,4.97,AA-,28.329,52.611,5.0,2030-11-28,5.06,8.218,8.37,0.01,-10.11,204.27
113053,隆22转债,137.313,0.18,601012,隆基绿能,22.88,2.01,2.96,17.5,130.74,5.03,AAA,12.25,22.75,4.0,2028-01-05,2.162,69.951,84.17,0.01,-10.02,142.34
127047,帝欧转债,133.2,-0.08,002798,帝欧水华,6.46,0.0,1.62,5.1,126.67,5.16,A-,3.57,6.63,29.6,2027-10-25,1.964,8.437,8.52,0.01,-6.47,138.36
127053,豪美转债,253.332,0.93,002988,豪美新材,41.5,0.07,3.81,17.23,240.86,5.18,AA-,12.061,22.399,2.5,2028-01-24,2.214,2.581,36.99,0.06,-28.57,258.51
123198,金埔转债,134.598,0.0,301098,金埔园林,9.65,1.9,1.43,7.55,127.82,5.31,A,5.285,9.815,22.6,2029-06-08,3.586,3.259,0.0,0.0,-3.2,139.91
113663,新化转债,163.894,0.17,603867,新化股份,30.78,0.0,2.36,19.81,155.38,5.48,AA-,13.867,25.753,8.5,2028-11-28,3.06,5.021,0.49,0.0,-10.03,169.37
123245,集智转债,211.0,0.05,300553,集智股份,36.22,0.06,4.71,18.11,200.0,5.5,A,12.677,23.543,5.0,2030-08-14,4.77,1.538,4.85,0.01,-11.25,216.5
123203,明电转02,153.39,-0.2,300739,明阳电路,16.99,1.13,2.33,11.76,144.47,6.17,AA-,8.232,15.288,2.6,2029-07-03,3.655,1.471,1.38,0.01,-6.08,159.56
113651,松霖转债,211.576,0.99,603992,松霖科技,30.47,1.57,3.99,15.3,199.15,6.24,AA,10.71,19.89,1.8,2028-07-20,2.701,2.378,42.74,0.08,-20.44,217.82
113687,振华转债,424.31,0.73,603067,振华股份,32.74,-1.39,6.79,8.2,399.27,6.27,AA,5.74,10.66,1.7,2030-07-12,4.68,4.046,1024.28,0.6,-24.73,430.58
111012,福新转债,342.0,-0.01,605488,福莱新材,30.72,0.62,5.51,9.56,321.34,6.43,A+,6.692,12.428,1.2,2029-01-04,3.162,1.019,11.29,0.03,-28.64,348.43
113062,常银转债,129.979,-0.02,601128,常熟银行,7.17,-0.14,0.78,5.89,121.73,6.77,AAA,,7.657,25.2,2028-09-15,2.858,59.994,4.03,0.0,-5.96,136.75
123146,中环转2,153.2,-0.1,300692,中环环保,8.93,0.11,1.62,6.23,143.34,6.88,AA-,4.361,8.099,17.3,2028-05-06,2.496,6.361,5.82,0.01,-9.8,160.08
111005,富春转债,159.981,-0.2,605189,富春染织,17.89,-0.5,1.89,11.98,149.33,7.13,AA-,8.386,15.574,15.3,2028-06-23,2.627,5.298,10.56,0.01,-13.04,167.11
127082,亚科转债,141.088,-0.01,002540,亚太科技,6.95,-0.14,1.58,5.29,131.38,7.39,AA,3.703,6.877,19.1,2029-03-09,3.337,11.588,1.27,0.0,-5.75,148.48
123177,测绘转债,145.5,-0.38,300826,测绘股份,17.79,0.45,2.13,13.15,135.29,7.55,A+,9.205,17.095,4.5,2029-03-02,3.318,1.299,10.62,0.06,-5.89,153.05
123225,翔丰转债,147.504,0.99,300890,翔丰华,37.6,0.89,2.03,27.44,137.03,7.65,AA-,19.208,35.672,14.0,2029-10-10,3.926,5.735,41.45,0.05,-4.71,155.15
113058,友发转债,149.0,0.29,601686,友发集团,6.6,0.0,1.39,4.77,138.37,7.69,AA,3.339,6.201,19.2,2028-03-30,2.395,18.638,0.75,0.0,-10.36,156.69
128141,旺能转债,137.234,0.15,002034,旺能环境,17.74,0.06,1.09,13.98,126.9,8.15,AA,9.786,18.174,15.1,2026-12-17,1.11,11.576,1.37,0.0,-17.23,145.38
118039,煜邦转债,140.606,-0.12,688597,煜邦电力,9.49,-0.52,3.57,7.3,130.0,8.16,A,5.11,9.49,12.9,2029-07-20,3.701,4.104,10.4,0.02,-4.77,148.77
123235,亿田转债,194.0,0.52,300911,亿田智能,38.18,0.77,5.65,21.31,179.17,8.28,AA-,14.917,27.703,6.7,2029-12-21,4.123,4.355,17.07,0.02,-11.21,202.28
