label,板块,公司家数,平均价格,涨跌额,涨跌幅,总成交量,总成交额,股票代码,个股-涨跌幅,个股-当前价,个股-涨跌额,股票名称
hangye_ZN77,生态保护和环境治理业,83,12.111807228916,-0.091686746987952,-0.75131554265517,529556832,3552016805,bj832145,6.913,6.65,0.43,恒合股份
hangye_ZN78,公共设施管理业,23,12.464956521739,0.042,0.33808377197894,134556343,1580856530,sh600593,7.414,22.6,1.56,大连圣亚
hangye_ZO80,机动车、电子产品和日用产品修理业,1,13.27,0.07,0.53030303030303,2717200,36101455,sz300736,0.53,13.27,0.07,百邦科技
hangye_ZP82,教育,12,15.295833333333,0.12666666666667,0.83502719331978,445702314,3785372463,sh600661,9.985,15.09,1.37,昂立教育
hangye_ZQ83,卫生,18,26.485,-0.71888888888889,-2.6425960340638,436044345,4789333933,sz002044,6.489,6.4,0.39,美年健康
hangye_ZQ84,社会工作,1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,--
hangye_ZR85,新闻和出版业,28,15.759642857143,0.36892857142857,2.3970854411287,889168600,12981835437,sh605577,10.004,25.18,2.29,龙版传媒
hangye_ZR86,广播、电视、电影和影视录音制作业,22,10.710476190476,0.44238095238095,4.3083058943561,1392461615,11408147588,sh600715,10.081,2.73,0.25,文投控股
hangye_ZR87,文化艺术业,6,20.611666666667,0.635,3.1787084932421,192911017,3305834686,sz000681,9.975,17.42,1.58,视觉中国
hangye_ZR88,体育,3,10.546666666667,0.63333333333333,6.3887020847344,31421549,374516519,sz002858,9.984,20.6,1.87,力盛体育
hangye_ZS90,综合,12,8.1775,0.07,0.86339808818995,231869736,1712634486,sh600682,4.987,8.21,0.39,南京新百
