排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
66,化学原料,BK1019,755.39,2.49,0.33,821875232000,0.98,61,20,龙佰集团,2.79
67,电子元件,BK0459,19341.1,61.69,0.32,1640933792000,1.83,97,46,深华发Ｂ,8.17
68,农牧饲渔,BK0433,13651.48,35.39,0.26,981932592000,1.49,49,26,巨星农牧,4.63
69,珠宝首饰,BK0734,384.73,0.79,0.21,162412097000,0.7,12,5,菜百股份,2.12
70,房地产服务,BK1045,970.14,1.57,0.16,88068217000,2.09,9,8,*ST全新,2.69
71,包装材料,BK0733,920.93,1.4,0.15,128907050000,1.36,19,10,盛通股份,4.12
72,生物制品,BK1044,945.52,1.1,0.12,1445689920000,1.69,44,29,英诺特,5.01
73,有色金属,BK0478,13905.75,15.46,0.11,922871888000,0.99,49,25,钢研高纳,4.93
74,旅游酒店,BK0485,13527.07,13.37,0.1,379023904000,1.45,19,14,同庆楼,2.15
75,航空机场,BK0420,4122.58,2.45,0.06,667762688000,0.4,6,5,中信海直,1.41
76,环保行业,BK0728,401.1,0.19,0.05,589622944000,1.36,83,35,森远股份,17.6
77,光伏设备,BK1031,1248.53,0.39,0.03,1254679568000,1.27,28,25,奥特维,5.8
78,钢铁行业,BK0479,6766.97,1.43,0.02,876764240000,0.95,28,19,鄂资Ｂ股,4.08
79,医疗器械,BK1041,907.6,0.16,0.02,1558047536000,1.6,62,56,南微医学,7.34
80,房地产开发,BK0451,11870.45,-18.79,-0.16,1118475600000,1.27,42,52,中迪投资,10.01
81,食品饮料,BK0438,24597.52,-110.09,-0.45,1629826288000,2.01,50,71,龙大美食,8.89
82,电池,BK1033,938.19,-5.45,-0.58,1562102336000,1.49,26,33,时代万恒,4.88
83,酿酒行业,BK0477,55558.03,-350.66,-0.63,4168069328000,0.95,10,28,金徽酒,2.04
84,非金属材料,BK1020,970.75,-6.26,-0.64,324075888000,1.29,18,13,华秦科技,4.02
85,贵金属,BK0732,894.4,-13.5,-1.49,578909536000,0.88,0,9,金贵银业,0.0
86,能源金属,BK1015,467.93,-8.18,-1.72,358326816000,1.78,3,8,腾远钴业,1.03
