代码,转债名称,现价,涨跌幅,正股代码,正股名称,正股价,正股涨跌,正股PB,转股价,转股价值,转股溢价率,债券评级,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,剩余规模,成交额,换手率,到期税前收益,双低
113056,重银转债,101.691,0.01,601963,重庆银行,6.92,-0.29,0.45,10.5,65.91,54.3,AAA,,13.65,271.7,2028-03-23,4.263,129.994,9130.13,0.69,3.13,155.99
113627,太平转债,107.57,-1.02,603877,太平鸟,15.19,0.66,1.67,21.81,69.65,54.45,AA,15.27,28.35,11.1,2027-07-15,3.573,8.0,967.32,1.12,1.75,162.02
128074,游族转债,120.366,0.3,002174,游族网络,13.2,3.45,2.66,16.97,77.78,54.74,AA,11.88,22.06,5.7,2025-09-23,1.764,6.822,5469.8,6.65,-1.71,175.11
113043,财通转债,110.975,-1.19,601108,财通证券,8.11,-0.73,1.11,11.34,71.52,55.17,AAA,,14.74,10.1,2026-12-10,2.978,37.996,8279.88,1.96,-0.61,166.15
113676,荣23转债,114.985,-1.14,603165,荣晟环保,11.66,-0.68,1.5,15.74,74.08,55.22,AA-,11.02,20.46,17.7,2029-08-17,5.666,5.76,993.4,1.49,0.72,170.21
123215,铭利转债,115.941,-0.2,301268,铭利达,28.04,0.43,4.47,37.67,74.44,55.76,AA-,26.37,48.97,17.0,2029-08-02,5.625,10.0,186.73,0.16,1.12,171.7
123121,帝尔转债,114.155,-0.56,300776,帝尔激光,54.49,0.26,5.05,74.38,73.26,55.82,AA-,52.07,96.69,9.1,2027-08-05,3.63,8.306,1768.75,1.85,1.41,169.98
123232,金现转债,144.43,44.43,300830,金现代,8.7,-0.46,3.29,9.39,92.65,55.88,A+,6.57,12.21,7.5,2029-11-26,5.943,2.025,8717.37,30.44,-3.0,200.31
113601,塞力转债,102.792,-0.01,603716,塞力医疗,11.19,0.45,1.63,16.98,65.9,55.98,A,11.89,22.07,24.1,2026-08-21,2.674,5.423,537.56,0.97,5.74,158.77
128036,金农转债,133.1,-1.7,002548,金新农,5.81,-2.68,2.55,6.81,85.32,56.01,A-,4.77,8.85,3.8,2024-03-09,0.222,1.455,7340.43,37.76,-91.76,189.11
113618,美诺转债,115.03,-1.49,603538,美诺华,19.42,0.73,1.95,26.35,73.7,56.08,AA-,18.45,34.26,11.6,2027-01-14,3.074,4.767,1590.88,2.89,-0.21,171.11
113569,科达转债,112.705,-0.99,603660,苏州科达,10.51,2.14,5.2,14.57,72.14,56.24,A+,10.2,18.94,9.9,2026-03-09,2.222,5.137,107509.93,182.51,2.33,168.95
113597,佳力转债,128.01,-0.33,603912,佳力图,8.83,0.11,2.55,10.79,81.84,56.42,AA-,7.55,14.03,6.2,2026-07-30,2.614,2.98,721.54,1.89,-1.77,184.43
128095,恩捷转债,120.989,0.22,002812,恩捷股份,51.25,-0.31,1.86,66.26,77.35,56.42,AA,46.38,86.14,1.2,2026-02-11,2.151,4.531,3777.98,6.88,-3.07,177.41
110095,双良转债,101.828,-0.48,600481,双良节能,7.76,0.0,2.07,11.93,65.05,56.55,AA,8.35,15.51,17.9,2029-08-07,5.638,26.0,1998.11,0.75,2.22,158.38
113638,台21转债,112.941,0.26,603055,台华新材,11.92,-0.33,2.45,16.6,71.81,57.28,AA,11.62,21.58,5.7,2027-12-29,4.03,5.999,562.67,0.83,0.86,170.22
123144,裕兴转债,107.098,0.09,300305,裕兴股份,9.41,0.0,1.36,13.85,67.94,57.63,AA-,9.7,18.01,27.4,2028-04-11,4.315,5.999,574.65,0.89,2.73,164.73
118015,芯海转债,115.902,1.03,688595,芯海科技,40.93,3.38,6.01,55.67,73.52,57.64,A+,38.97,72.37,7.0,2028-07-21,4.592,4.1,2607.89,5.5,0.98,173.54
123161,强联转债,111.805,-0.79,300850,新强联,28.59,0.74,2.17,40.36,70.84,57.83,AA,28.25,52.47,18.3,2028-10-11,4.816,12.1,1700.58,1.25,0.93,169.64
127067,恒逸转2,100.716,-0.4,000703,恒逸石化,6.7,0.75,0.98,10.5,63.81,57.84,AA+,7.35,13.65,12.3,2028-07-21,4.592,29.998,1112.96,0.37,2.58,158.56
128105,长集转债,105.577,0.16,002616,长青集团,5.29,0.19,1.5,7.91,66.88,57.87,AA-,5.54,10.28,32.1,2026-04-09,2.307,7.994,698.82,0.83,3.17,163.45
123128,首华转债,102.488,-0.21,300483,首华燃气,12.7,-1.93,1.16,19.61,64.76,58.25,AA,13.73,25.49,41.5,2027-11-01,3.871,13.79,1684.11,1.19,2.91,160.74
404002,搜特退债,20.173,0.0,400198,*搜特3,0.14,0.0,2.03,1.1,12.73,58.5,CC,0.77,1.43,210.9,2026-03-12,2.23,7.84,0.0,0.0,125.72,78.67
128118,瀛通转债,114.851,-0.04,002861,瀛通通讯,15.42,1.05,2.69,21.35,72.23,59.02,A+,14.95,27.76,16.3,2026-07-02,2.537,2.996,6155.66,17.87,1.72,173.87
113636,甬金转债,112.957,0.21,603995,甬金股份,19.62,-0.2,1.41,27.66,70.93,59.25,AA-,19.36,35.96,13.4,2027-12-13,3.986,9.995,971.36,0.86,1.51,172.21
113542,好客转债,111.058,0.07,603898,好莱客,10.72,0.28,1.11,15.39,69.66,59.44,AA,10.77,20.01,18.1,2025-08-01,1.619,6.026,606.65,0.91,0.42,170.5
113037,紫银转债,105.44,0.08,601860,紫金银行,2.53,-0.78,0.51,3.85,65.71,60.45,AA+,,5.01,50.7,2026-07-23,2.595,44.995,4108.71,0.87,3.05,165.89
127049,希望转2,101.47,-0.41,000876,新希望,9.1,-1.09,1.7,14.39,63.24,60.46,AAA,10.07,18.71,19.8,2027-11-02,3.874,81.436,9237.5,1.12,2.29,161.93
113666,爱玛转债,106.36,-0.35,603529,爱玛科技,26.2,-1.06,2.92,39.64,66.1,60.92,AA,27.75,51.53,34.1,2029-02-23,5.186,20.0,3896.83,1.82,1.57,167.28
