代码,转债名称,现价,涨跌幅,正股代码,正股名称,正股价,正股涨跌,正股PB,转股价,转股价值,转股溢价率,债券评级,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,剩余规模,成交额,换手率,到期税前收益,双低
118058,微导转债,100.0,0.0,688147,微导纳米,38.95,0.08,6.73,33.57,116.03,-13.81,AA,23.5,43.64,29.7,2031-08-05,5.948,11.7,0.0,0.0,2.27,86.19
113698,凯众转债,100.0,0.0,603037,凯众股份,13.06,2.03,3.57,12.7,102.84,-2.76,AA-,8.89,16.51,8.8,2031-08-14,5.973,3.08,0.0,0.0,2.2,97.24
123169,正海转债,150.412,6.01,300224,正海磁材,19.53,8.02,4.2,12.63,154.63,-2.73,AA-,8.84,16.42,7.0,2028-11-23,,11.378,319108.94,185.72,,147.68
123231,信测转债,139.119,5.5,300938,信测标准,25.8,7.14,3.98,18.22,141.6,-1.75,AA-,12.75,23.69,4.8,2029-11-09,,1.944,44179.2,165.25,,137.37
111007,永和转债,161.789,4.9,605020,永和股份,32.35,5.79,3.21,19.68,164.38,-1.58,AA-,13.78,25.59,6.3,2028-10-11,3.132,7.784,77210.55,61.46,-9.4,160.21
123130,设研转债,124.427,-1.26,300732,设研院,10.17,-0.39,1.27,8.05,126.34,-1.51,AA,5.64,10.47,11.0,2027-11-11,,3.635,27771.69,60.85,,122.92
123031,Z瑞转债,307.007,-1.08,300655,晶瑞电材,11.8,-0.34,4.89,3.79,311.35,-1.39,A+,2.65,4.93,0.3,2025-08-29,0.011,0.359,32493.75,289.35,-7785.91,305.62
123162,东杰转债,283.336,0.0,300486,东杰智能,23.03,0.0,9.04,8.05,286.09,-0.96,BBB+,5.64,10.47,1.6,2028-10-14,,1.728,0.0,0.0,,282.38
123141,Z丰转债,139.605,1.0,300283,温州宏丰,7.54,0.94,4.23,5.35,140.94,-0.94,BBB+,3.75,6.96,2.0,2028-03-15,,0.532,16787.98,227.76,,138.67
127052,西子转债,139.422,-4.51,002534,西子洁能,15.45,-0.06,2.67,10.99,140.58,-0.83,AA,7.69,14.29,9.9,2027-12-24,2.332,11.087,38712.28,24.52,-8.66,138.59
