,0
maxAge,86400
priceHint,2
previousClose,42828.79
open,42774.29
dayLow,42611.31
dayHigh,42774.29
regularMarketPreviousClose,42828.79
regularMarketOpen,42774.29
regularMarketDayLow,42611.31
regularMarketDayHigh,42774.29
volume,0
regularMarketVolume,0
averageVolume,123882539
averageVolume10days,119440000
averageDailyVolume10Day,119440000
bid,0.0
ask,0.0
bidSize,0
askSize,0
fiftyTwoWeekLow,30792.74
fiftyTwoWeekHigh,43876.42
fiftyDayAverage,40697.594
twoHundredDayAverage,38555.867
currency,JPY
tradeable,False
52WeekChange,10.83802
quoteType,INDEX
symbol,^N225
language,en-US
region,US
typeDisp,Index
quoteSourceName,Delayed Quote
triggerable,False
customPriceAlertConfidence,LOW
shortName,Nikkei 225
exchange,OSA
messageBoardId,finmb_INDEXN225
exchangeTimezoneName,Asia/Tokyo
exchangeTimezoneShortName,JST
gmtOffSetMilliseconds,32400000
market,jp_market
esgPopulated,False
longName,Nikkei 225
corporateActions,[]
regularMarketTime,1756429680
regularMarketChangePercent,-0.3865992
regularMarketPrice,42663.23
marketState,REGULAR
firstTradeDateMilliseconds,-157420800000
regularMarketChange,-165.5586
regularMarketDayRange,42611.31 - 42774.29
fullExchangeName,Osaka
averageDailyVolume3Month,123882539
fiftyTwoWeekLowChange,11870.49
fiftyTwoWeekLowChangePercent,0.38549638
fiftyTwoWeekRange,30792.74 - 43876.42
fiftyTwoWeekHighChange,-1213.1914
fiftyTwoWeekHighChangePercent,-0.02765019
fiftyTwoWeekChangePercent,10.83802
fiftyDayAverageChange,1965.6367
fiftyDayAverageChangePercent,0.048298597
twoHundredDayAverageChange,4107.3633
twoHundredDayAverageChangePercent,0.106530175
sourceInterval,20
exchangeDataDelayedBy,20
cryptoTradeable,False
hasPrePostMarketData,False
trailingPegRatio,
