,0
maxAge,86400
priceHint,2
previousClose,6481.4
open,6483.84
dayLow,6466.96
dayHigh,6508.23
regularMarketPreviousClose,6481.4
regularMarketOpen,6483.84
regularMarketDayLow,6466.96
regularMarketDayHigh,6508.23
volume,2615361000
regularMarketVolume,2615361000
averageVolume,5114966825
averageVolume10days,4417808000
averageDailyVolume10Day,4417808000
bid,6454.66
ask,6540.68
bidSize,0
askSize,0
fiftyTwoWeekLow,4835.04
fiftyTwoWeekHigh,6508.23
fiftyDayAverage,6296.1753
twoHundredDayAverage,5954.4985
currency,USD
tradeable,False
52WeekChange,15.90569
quoteType,INDEX
symbol,^GSPC
language,en-US
region,US
typeDisp,Index
quoteSourceName,Delayed Quote
triggerable,True
customPriceAlertConfidence,HIGH
longName,S&P 500
marketState,POSTPOST
hasPrePostMarketData,False
firstTradeDateMilliseconds,-1325583000000
shortName,S&P 500
gmtOffSetMilliseconds,-14400000
market,us_market
esgPopulated,False
regularMarketChange,20.45996
regularMarketDayRange,6466.96 - 6508.23
fullExchangeName,SNP
averageDailyVolume3Month,5114966825
fiftyTwoWeekLowChange,1666.8198
fiftyTwoWeekLowChangePercent,0.34473753
fiftyTwoWeekRange,4835.04 - 6508.23
fiftyTwoWeekHighChange,-6.370117
fiftyTwoWeekHighChangePercent,-0.0009787787
fiftyTwoWeekChangePercent,15.90569
fiftyDayAverageChange,205.68457
fiftyDayAverageChangePercent,0.032668177
twoHundredDayAverageChange,547.3613
twoHundredDayAverageChangePercent,0.091924004
sourceInterval,15
exchangeDataDelayedBy,0
cryptoTradeable,False
corporateActions,[]
regularMarketTime,1756414051
exchange,SNP
messageBoardId,finmb_INDEXGSPC
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
regularMarketChangePercent,0.31567195
regularMarketPrice,6501.86
trailingPegRatio,
