序号,代码,名称,最新价,涨跌额,涨跌幅,开盘价,最高价,最低价,昨收价,振幅,最新行情时间
1,BDI,波罗的海BDI指数,2205.0,25.0,1.15,2205.0,2205.0,2205.0,2180.0,0.0,2025-09-18 12:57:34
2,NDX,纳斯达克,22470.73,209.4,0.94,22439.11,22540.93,22358.49,22261.33,0.82,2025-09-19 04:00:00
3,NZ50,新西兰50,13231.66,111.63,0.85,13120.03,13276.77,13094.46,13120.03,1.39,2025-09-19 12:45:22
4,KSE100,巴基斯坦卡拉奇,158536.57,1126.43,0.72,158327.92,158750.92,158316.97,157410.14,0.28,2025-09-19 15:00:00
5,CSEALL,斯里兰卡科伦坡,21085.09,119.83,0.57,20965.26,21112.71,20965.26,20965.26,0.7,2025-09-19 17:00:00
6,IBEX,西班牙IBEX35,15257.1,81.7,0.54,15212.0,15304.7,15192.9,15175.4,0.74,2025-09-19 17:53:00
7,JKSE,印尼雅加达综合,8051.12,42.69,0.53,7996.2,8051.12,7983.36,8008.43,0.85,2025-09-19 16:50:00
8,SSMI,瑞士SMI,12110.08,61.3,0.51,12039.54,12129.01,12023.22,12048.78,0.88,2025-09-19 17:53:07
9,PSI,菲律宾马尼拉,6264.49,30.87,0.5,6255.79,6287.38,6248.46,6233.62,0.62,2025-09-19 14:50:00
10,SPX,标普500,6631.96,31.61,0.48,6626.85,6656.8,6611.89,6600.35,0.68,2025-09-19 03:59:51
11,OMXSPI,瑞典OMXSPI,2647.24,12.4,0.47,2637.7,2656.68,2629.8,2634.84,1.02,2025-09-19 18:08:07
12,TSX,加拿大S&P/TSX,29453.53,131.87,0.45,29347.03,29504.21,29319.9,29321.66,0.63,2025-09-19 03:59:46
13,FCHI,法国CAC40,7884.64,30.03,0.38,7873.37,7934.92,7870.01,7854.61,0.83,2025-09-19 17:53:00
14,AORD,澳大利亚普通股,9063.5,32.6,0.36,9079.8,9112.4,9030.9,9030.9,0.9,2025-09-19 13:59:44
15,ASE,希腊雅典ASE,2034.11,7.07,0.35,2036.44,2036.44,2030.52,2027.04,0.29,2025-09-19 17:52:36
16,AS51,澳大利亚标普200,8773.5,28.3,0.32,8790.2,8821.0,8745.2,8745.2,0.87,2025-09-19 13:59:44
17,DJIA,道琼斯,46142.42,124.1,0.27,46056.55,46317.52,45954.73,46018.32,0.79,2025-09-19 03:59:51
18,BFX,比利时BFX,4710.41,12.02,0.26,4701.58,4722.11,4700.26,4698.39,0.47,2025-09-19 17:53:00
19,399005,中小100,8037.16,16.42,0.2,8021.24,8123.78,8006.68,8020.74,1.46,2025-09-19 15:34:33
20,PX,布拉格指数,2288.01,4.51,0.2,2285.71,2292.27,2282.9,2283.5,0.41,2025-09-19 18:07:27
21,MIB,富时意大利MIB,42387.68,79.87,0.19,42288.82,42690.86,42272.21,42307.81,0.99,2025-09-19 18:08:07
22,UDI,美元指数,97.54,0.17,0.17,97.37,97.63,97.27,97.37,0.37,2025-09-19 18:08:01
23,ISEQ,爱尔兰综合,11232.18,19.52,0.17,11212.04,11238.33,11190.89,11212.66,0.42,2025-09-19 17:53:00
24,HSCEI,国企指数,9472.35,15.83,0.17,9472.31,9512.14,9418.36,9456.52,0.99,2025-09-19 16:08:30
25,SX5E,欧洲斯托克50,5462.38,5.71,0.1,5459.25,5494.13,5457.64,5456.67,0.67,2025-09-19 17:53:00
26,000300,沪深300,4501.92,3.81,0.08,4499.09,4533.09,4491.84,4498.11,0.92,2025-09-19 16:11:59
27,ATX,奥地利ATX,4638.96,3.09,0.07,4636.01,4653.37,4625.51,4635.87,0.6,2025-09-19 17:52:59
28,WIG,波兰WIG,105627.83,62.93,0.06,105880.85,105893.78,105444.56,105564.9,0.43,2025-09-19 17:52:00
29,HEX,芬兰赫尔辛基,11013.91,1.77,0.02,11014.54,11062.46,10988.16,11012.14,0.67,2025-09-19 18:07:15
30,HSI,恒生指数,26545.1,0.25,0.0,26583.03,26637.64,26414.11,26544.85,0.84,2025-09-19 16:08:30
