,0
maxAge,86400
priceHint,2
previousClose,3883.56
open,3869.6116
dayLow,3800.3499
dayHigh,3887.198
regularMarketPreviousClose,3883.56
regularMarketOpen,3869.6116
regularMarketDayLow,3800.3499
regularMarketDayHigh,3887.198
volume,4258971276
regularMarketVolume,4258971276
averageVolume,534004
averageVolume10days,710150
averageDailyVolume10Day,710150
bid,0.0
ask,0.0
bidSize,0
askSize,0
fiftyTwoWeekLow,2689.695
fiftyTwoWeekHigh,3888.598
fiftyDayAverage,3570.3064
twoHundredDayAverage,3394.6875
currency,CNY
tradeable,False
52WeekChange,36.33405
quoteType,INDEX
symbol,000001.SS
language,en-US
region,US
typeDisp,Index
quoteSourceName,Delayed Quote
triggerable,False
customPriceAlertConfidence,LOW
corporateActions,[]
marketState,PREPRE
regularMarketChangePercent,-1.7586739
regularMarketPrice,3800.3499
regularMarketTime,1756278029
exchange,SHH
messageBoardId,finmb_INDEX000001.SS
exchangeTimezoneName,Asia/Shanghai
exchangeTimezoneShortName,CST
gmtOffSetMilliseconds,28800000
market,cn_market
esgPopulated,False
cryptoTradeable,False
fiftyDayAverageChange,230.04346
fiftyDayAverageChangePercent,0.06443241
twoHundredDayAverageChange,405.66235
twoHundredDayAverageChangePercent,0.11949918
sourceInterval,15
exchangeDataDelayedBy,15
shortName,000001.SS
longName,000001.SS
hasPrePostMarketData,False
firstTradeDateMilliseconds,867807000000
regularMarketChange,-68.03223
regularMarketDayRange,3800.3499 - 3887.198
fullExchangeName,Shanghai
averageDailyVolume3Month,534004
fiftyTwoWeekLowChange,1110.6548
fiftyTwoWeekLowChangePercent,0.41292962
fiftyTwoWeekRange,2689.695 - 3888.598
fiftyTwoWeekHighChange,-88.24805
fiftyTwoWeekHighChangePercent,-0.022694053
fiftyTwoWeekChangePercent,36.33405
trailingPegRatio,
