,0
maxAge,86400
priceHint,2
previousClose,24046.21
open,24180.62
dayLow,23972.54
dayHigh,24206.53
regularMarketPreviousClose,24046.21
regularMarketOpen,24180.62
regularMarketDayLow,23972.54
regularMarketDayHigh,24206.53
volume,0
regularMarketVolume,0
averageVolume,55532284
averageVolume10days,46194650
averageDailyVolume10Day,46194650
bid,0.0
ask,0.0
bidSize,0
askSize,0
fiftyTwoWeekLow,18208.84
fiftyTwoWeekHigh,24639.1
fiftyDayAverage,24042.555
twoHundredDayAverage,22363.447
currency,EUR
tradeable,False
52WeekChange,27.144062
quoteType,INDEX
symbol,^GDAXI
language,en-US
region,US
typeDisp,Index
quoteSourceName,Delayed Quote
triggerable,False
customPriceAlertConfidence,LOW
shortName,DAX                           P
longName,DAX P
averageDailyVolume3Month,55532284
fiftyTwoWeekLowChange,5831.08
fiftyTwoWeekLowChangePercent,0.32023346
fiftyTwoWeekRange,18208.84 - 24639.1
fiftyTwoWeekHighChange,-599.1797
fiftyTwoWeekHighChangePercent,-0.024318246
fiftyTwoWeekChangePercent,27.144062
fiftyDayAverageChange,-2.6347656
fiftyDayAverageChangePercent,-0.00010958759
twoHundredDayAverageChange,1676.4727
twoHundredDayAverageChangePercent,0.07496486
sourceInterval,15
exchangeDataDelayedBy,15
marketState,PREPRE
cryptoTradeable,False
corporateActions,[]
regularMarketTime,1756396800
exchange,GER
messageBoardId,finmb_INDEXGDAXI
exchangeTimezoneName,Europe/Berlin
exchangeTimezoneShortName,CEST
gmtOffSetMilliseconds,7200000
market,de_market
esgPopulated,False
hasPrePostMarketData,False
firstTradeDateMilliseconds,567849600000
regularMarketChange,-6.2910156
regularMarketDayRange,23972.54 - 24206.53
fullExchangeName,XETRA
regularMarketChangePercent,-0.02616219
regularMarketPrice,24039.92
trailingPegRatio,
